,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,23,27,33,17
1,23,26,33,18
2,22,27,33,18
3,22,27,33,18
4,22,28,32,18
5,21,28,33,18
6,21,28,34,17
7,21,27,35,17
8,20,27,35,18
9,21,27,34,18
10,20,28,34,18
11,20,28,34,18
12,21,28,34,17
13,21,29,33,17
14,22,28,33,17
15,22,27,34,17
16,23,27,33,17
17,23,28,33,16
18,24,28,32,16
19,24,29,31,16
20,25,28,31,16
21,25,28,31,16
22,25,27,32,16
23,25,26,32,17
24,25,26,32,17
25,26,26,31,17
26,27,26,31,16
27,28,25,31,16
28,27,25,32,16
29,27,25,32,16
30,28,24,32,16
31,28,24,33,15
32,28,24,34,14
33,28,23,34,15
34,27,23,35,15
35,28,23,35,14
36,27,23,36,14
37,27,23,36,14
38,26,23,37,14
39,26,23,37,14
40,25,23,38,14
41,25,23,37,15
42,26,23,36,15
43,27,22,36,15
44,27,21,37,15
45,28,21,36,15
46,29,20,36,15
47,29,21,35,15
48,29,21,35,15
49,29,21,36,14
50,29,21,37,13
51,28,21,37,14
52,27,21,37,15
53,27,21,38,14
54,27,21,37,15
55,27,21,37,15
56,27,21,37,15
57,27,21,37,15
58,27,22,36,15
59,27,22,36,15
60,27,21,37,15
61,27,21,37,15
62,26,21,37,16
63,26,21,37,16
64,26,21,37,16
65,26,21,36,17
66,25,21,36,18
67,25,21,36,18
68,26,21,35,18
69,26,21,35,18
70,26,20,35,19
71,25,20,36,19
72,26,20,36,18
73,26,20,36,18
74,26,20,35,19
75,25,20,36,19
76,24,21,36,19
77,23,21,36,20
78,23,21,36,20
79,24,21,36,19
80,24,21,35,20
81,24,22,34,20
82,24,21,35,20
83,24,22,34,20
84,24,22,34,20
85,25,21,34,20
86,25,21,34,20
87,24,22,34,20
88,24,22,34,20
89,24,22,34,20
90,23,23,34,20
91,23,23,34,20
92,24,23,33,20
93,24,24,32,20
94,25,24,31,20
95,25,24,31,20
96,25,24,31,20
97,25,25,30,20
98,25,25,31,19
99,25,25,31,19
100,25,25,31,19
101,25,25,32,18
102,24,26,32,18
103,24,26,32,18
104,24,26,32,18
105,23,27,32,18
106,24,27,31,18
107,24,27,31,18
108,24,26,32,18
109,23,26,33,18
110,24,26,32,18
111,23,26,32,19
112,22,26,32,20
113,23,25,32,20
114,23,25,31,21
115,23,24,32,21
116,23,23,33,21
117,23,23,33,21
118,24,22,33,21
119,24,21,33,22
120,24,22,33,21
121,24,21,33,22
122,24,21,33,22
123,25,20,33,22
124,25,20,33,22
125,25,20,33,22
126,25,20,33,22
127,26,20,32,22
