,Mutual_Cooperation,Mutual_Defection,Exploitation
0,3123.0,200.0,1627.0
1,2960.0,1003.0,987.0
2,2919.0,1070.0,961.0
3,2886.0,1042.0,1022.0
4,2858.0,1024.0,1068.0
5,2869.0,1013.0,1068.0
6,2861.0,1040.0,1049.0
7,2830.0,1019.0,1101.0
8,2823.0,1030.0,1097.0
9,2858.0,972.0,1120.0
10,2872.0,962.0,1116.0
11,2776.0,991.0,1183.0
12,2794.0,1052.0,1104.0
13,2758.0,1024.0,1168.0
14,2761.0,985.0,1204.0
15,2761.0,1006.0,1183.0
16,2769.0,1011.0,1170.0
17,2781.0,997.0,1172.0
18,2758.0,989.0,1203.0
19,2802.0,975.0,1173.0
20,2727.0,997.0,1226.0
21,2728.0,1029.0,1193.0
22,2746.0,1070.0,1134.0
23,2724.0,1056.0,1170.0
24,2746.0,1063.0,1141.0
25,2748.0,1059.0,1143.0
26,2769.0,1033.0,1148.0
27,2780.0,1056.0,1114.0
28,2784.0,1028.0,1138.0
29,2738.0,1026.0,1186.0
30,2773.0,1070.0,1107.0
31,2697.0,1078.0,1175.0
32,2708.0,1059.0,1183.0
33,2691.0,1079.0,1180.0
34,2735.0,1101.0,1114.0
35,2681.0,1079.0,1190.0
36,2636.0,1103.0,1211.0
37,2569.0,1109.0,1272.0
38,2576.0,1133.0,1241.0
39,2591.0,1115.0,1244.0
40,2613.0,1106.0,1231.0
41,2620.0,1126.0,1204.0
42,2614.0,1124.0,1212.0
43,2590.0,1120.0,1240.0
44,2526.0,1132.0,1292.0
45,2534.0,1196.0,1220.0
46,2516.0,1218.0,1216.0
47,2540.0,1208.0,1202.0
48,2560.0,1177.0,1213.0
49,2552.0,1185.0,1213.0
50,2558.0,1177.0,1215.0
51,2561.0,1157.0,1232.0
52,2551.0,1153.0,1246.0
53,2577.0,1117.0,1256.0
54,2513.0,1133.0,1304.0
55,2535.0,1165.0,1250.0
56,2513.0,1229.0,1208.0
57,2542.0,1212.0,1196.0
58,2527.0,1223.0,1200.0
59,2524.0,1210.0,1216.0
60,2525.0,1165.0,1260.0
61,2601.0,1093.0,1256.0
62,2682.0,1083.0,1185.0
63,2711.0,1047.0,1192.0
64,2725.0,1059.0,1166.0
65,2687.0,1070.0,1193.0
66,2722.0,1073.0,1155.0
67,2734.0,1061.0,1155.0
68,2749.0,1069.0,1132.0
69,2725.0,1052.0,1173.0
70,2645.0,1050.0,1255.0
71,2664.0,1114.0,1172.0
72,2662.0,1104.0,1184.0
73,2709.0,1028.0,1213.0
74,2756.0,1022.0,1172.0
75,2741.0,1031.0,1178.0
76,2765.0,1032.0,1153.0
77,2770.0,1041.0,1139.0
78,2797.0,959.0,1194.0
79,2819.0,957.0,1174.0
80,2829.0,949.0,1172.0
81,2844.0,949.0,1157.0
82,2846.0,939.0,1165.0
83,2875.0,904.0,1171.0
84,2879.0,913.0,1158.0
85,2884.0,903.0,1163.0
86,2886.0,918.0,1146.0
87,2881.0,904.0,1165.0
88,2915.0,927.0,1108.0
89,2902.0,914.0,1134.0
90,2938.0,873.0,1139.0
91,2989.0,879.0,1082.0
92,2992.0,876.0,1082.0
93,3016.0,858.0,1076.0
94,3020.0,866.0,1064.0
95,2990.0,882.0,1078.0
96,2996.0,850.0,1104.0
97,3020.0,843.0,1087.0
98,3048.0,843.0,1059.0
99,3031.0,841.0,1078.0
100,3043.0,845.0,1062.0
101,2975.0,853.0,1122.0
102,2951.0,834.0,1165.0
103,2921.0,846.0,1183.0
104,2899.0,867.0,1184.0
105,2927.0,857.0,1166.0
106,2993.0,861.0,1096.0
107,2907.0,873.0,1170.0
108,2886.0,898.0,1166.0
109,2885.0,926.0,1139.0
110,2915.0,921.0,1114.0
111,2865.0,898.0,1187.0
112,2884.0,922.0,1144.0
113,2888.0,935.0,1127.0
114,2877.0,904.0,1169.0
115,2899.0,885.0,1166.0
116,2844.0,915.0,1191.0
117,2843.0,961.0,1146.0
118,2849.0,962.0,1139.0
119,2773.0,973.0,1204.0
120,2770.0,983.0,1197.0
121,2775.0,1014.0,1161.0
122,2793.0,1034.0,1123.0
123,2780.0,1021.0,1149.0
124,2760.0,1021.0,1169.0
125,2807.0,968.0,1175.0
126,2853.0,965.0,1132.0
127,2779.0,979.0,1192.0
128,2710.0,1031.0,1209.0
129,2628.0,1094.0,1228.0
130,2573.0,1170.0,1207.0
131,2505.0,1213.0,1232.0
132,2509.0,1244.0,1197.0
133,2482.0,1204.0,1264.0
134,2506.0,1212.0,1232.0
135,2524.0,1175.0,1251.0
136,2437.0,1208.0,1305.0
137,2450.0,1253.0,1247.0
138,2427.0,1258.0,1265.0
139,2346.0,1289.0,1315.0
140,2342.0,1315.0,1293.0
141,2370.0,1329.0,1251.0
142,2364.0,1329.0,1257.0
143,2361.0,1338.0,1251.0
144,2380.0,1338.0,1232.0
145,2378.0,1356.0,1216.0
146,2360.0,1355.0,1235.0
147,2377.0,1307.0,1266.0
148,2381.0,1334.0,1235.0
149,2416.0,1317.0,1217.0
150,2409.0,1306.0,1235.0
151,2358.0,1306.0,1286.0
152,2368.0,1320.0,1262.0
153,2393.0,1336.0,1221.0
154,2379.0,1368.0,1203.0
155,2381.0,1339.0,1230.0
156,2394.0,1328.0,1228.0
157,2425.0,1270.0,1255.0
158,2395.0,1249.0,1306.0
159,2390.0,1318.0,1242.0
160,2364.0,1330.0,1256.0
161,2419.0,1324.0,1207.0
162,2340.0,1343.0,1267.0
163,2352.0,1357.0,1241.0
164,2348.0,1370.0,1232.0
165,2389.0,1346.0,1215.0
166,2417.0,1341.0,1192.0
167,2348.0,1349.0,1253.0
168,2323.0,1393.0,1234.0
169,2326.0,1364.0,1260.0
170,2339.0,1344.0,1267.0
171,2369.0,1349.0,1232.0
172,2354.0,1318.0,1278.0
173,2402.0,1276.0,1272.0
174,2439.0,1254.0,1257.0
175,2452.0,1254.0,1244.0
176,2453.0,1263.0,1234.0
177,2459.0,1217.0,1274.0
178,2509.0,1169.0,1272.0
179,2559.0,1170.0,1221.0
180,2600.0,1120.0,1230.0
181,2640.0,1118.0,1192.0
182,2622.0,1145.0,1183.0
183,2620.0,1159.0,1171.0
184,2619.0,1171.0,1160.0
185,2551.0,1172.0,1227.0
186,2497.0,1222.0,1231.0
187,2495.0,1222.0,1233.0
188,2520.0,1203.0,1227.0
189,2523.0,1187.0,1240.0
190,2474.0,1220.0,1256.0
191,2484.0,1268.0,1198.0
192,2468.0,1275.0,1207.0
193,2405.0,1285.0,1260.0
194,2439.0,1287.0,1224.0
195,2431.0,1267.0,1252.0
196,2448.0,1278.0,1224.0
197,2464.0,1268.0,1218.0
198,2469.0,1271.0,1210.0
199,2386.0,1298.0,1266.0
200,2380.0,1349.0,1221.0
201,2327.0,1328.0,1295.0
202,2322.0,1392.0,1236.0
203,2360.0,1401.0,1189.0
204,2351.0,1358.0,1241.0
205,2379.0,1414.0,1157.0
206,2352.0,1410.0,1188.0
207,2334.0,1398.0,1218.0
208,2355.0,1442.0,1153.0
209,2385.0,1348.0,1217.0
210,2396.0,1362.0,1192.0
211,2411.0,1302.0,1237.0
212,2434.0,1319.0,1197.0
213,2433.0,1284.0,1233.0
214,2426.0,1296.0,1228.0
215,2451.0,1250.0,1249.0
216,2390.0,1278.0,1282.0
217,2414.0,1282.0,1254.0
218,2424.0,1281.0,1245.0
219,2414.0,1263.0,1273.0
220,2462.0,1225.0,1263.0
221,2497.0,1203.0,1250.0
222,2534.0,1185.0,1231.0
223,2479.0,1182.0,1289.0
224,2484.0,1237.0,1229.0
225,2420.0,1238.0,1292.0
226,2419.0,1274.0,1257.0
227,2416.0,1267.0,1267.0
228,2442.0,1271.0,1237.0
229,2410.0,1280.0,1260.0
230,2399.0,1347.0,1204.0
231,2320.0,1348.0,1282.0
232,2330.0,1388.0,1232.0
233,2358.0,1370.0,1222.0
234,2334.0,1365.0,1251.0
235,2318.0,1350.0,1282.0
236,2351.0,1295.0,1304.0
237,2430.0,1284.0,1236.0
238,2457.0,1258.0,1235.0
239,2458.0,1267.0,1225.0
240,2463.0,1276.0,1211.0
241,2465.0,1250.0,1235.0
242,2446.0,1267.0,1237.0
243,2465.0,1291.0,1194.0
244,2387.0,1292.0,1271.0
245,2390.0,1366.0,1194.0
246,2408.0,1360.0,1182.0
247,2411.0,1337.0,1202.0
248,2351.0,1348.0,1251.0
249,2361.0,1379.0,1210.0
250,2363.0,1366.0,1221.0
251,2367.0,1352.0,1231.0
252,2389.0,1335.0,1226.0
253,2420.0,1324.0,1206.0
254,2469.0,1329.0,1152.0
255,2457.0,1308.0,1185.0
256,2437.0,1294.0,1219.0
257,2458.0,1285.0,1207.0
258,2450.0,1275.0,1225.0
259,2461.0,1305.0,1184.0
260,2440.0,1263.0,1247.0
261,2422.0,1276.0,1252.0
262,2450.0,1304.0,1196.0
263,2449.0,1314.0,1187.0
264,2473.0,1304.0,1173.0
265,2461.0,1320.0,1169.0
266,2457.0,1317.0,1176.0
267,2480.0,1286.0,1184.0
268,2493.0,1254.0,1203.0
269,2501.0,1267.0,1182.0
270,2518.0,1239.0,1193.0
271,2522.0,1225.0,1203.0
272,2490.0,1245.0,1215.0
273,2456.0,1307.0,1187.0
274,2471.0,1323.0,1156.0
275,2483.0,1303.0,1164.0
276,2502.0,1258.0,1190.0
277,2492.0,1287.0,1171.0
278,2492.0,1279.0,1179.0
279,2486.0,1297.0,1167.0
280,2471.0,1278.0,1201.0
281,2475.0,1246.0,1229.0
282,2511.0,1188.0,1251.0
283,2582.0,1197.0,1171.0
284,2607.0,1160.0,1183.0
285,2608.0,1144.0,1198.0
286,2631.0,1125.0,1194.0
287,2654.0,1135.0,1161.0
288,2629.0,1113.0,1208.0
289,2618.0,1087.0,1245.0
290,2575.0,1098.0,1277.0
291,2535.0,1175.0,1240.0
292,2548.0,1204.0,1198.0
293,2578.0,1159.0,1213.0
294,2587.0,1180.0,1183.0
295,2569.0,1222.0,1159.0
296,2478.0,1227.0,1245.0
297,2489.0,1260.0,1201.0
298,2515.0,1227.0,1208.0
299,2494.0,1236.0,1220.0
300,2462.0,1259.0,1229.0
301,2488.0,1262.0,1200.0
302,2471.0,1274.0,1205.0
303,2482.0,1288.0,1180.0
304,2483.0,1271.0,1196.0
305,2382.0,1281.0,1287.0
306,2392.0,1342.0,1216.0
307,2399.0,1347.0,1204.0
308,2346.0,1383.0,1221.0
309,2326.0,1419.0,1205.0
310,2333.0,1376.0,1241.0
311,2350.0,1396.0,1204.0
312,2350.0,1387.0,1213.0
313,2352.0,1406.0,1192.0
314,2352.0,1412.0,1186.0
315,2372.0,1425.0,1153.0
316,2381.0,1429.0,1140.0
317,2397.0,1387.0,1166.0
318,2372.0,1380.0,1198.0
319,2387.0,1345.0,1218.0
320,2426.0,1358.0,1166.0
321,2420.0,1330.0,1200.0
322,2421.0,1293.0,1236.0
323,2450.0,1312.0,1188.0
324,2434.0,1323.0,1193.0
325,2423.0,1326.0,1201.0
326,2432.0,1297.0,1221.0
327,2370.0,1303.0,1277.0
328,2359.0,1347.0,1244.0
329,2370.0,1328.0,1252.0
330,2396.0,1294.0,1260.0
331,2422.0,1279.0,1249.0
332,2430.0,1276.0,1244.0
333,2373.0,1286.0,1291.0
334,2378.0,1354.0,1218.0
335,2371.0,1335.0,1244.0
336,2417.0,1350.0,1183.0
337,2432.0,1308.0,1210.0
338,2457.0,1253.0,1240.0
339,2497.0,1275.0,1178.0
