,m,d,r,w,P,R,S,T
0,3.9,0.79,0.24,1.0,305749,428914,121223,134114
1,6.6,0.89,0.76,1.0,281159,475815,125880,107146
2,5.5,0.18,0.32,1.0,328837,396303,106812,158048
3,6.2,0.63,0.26,1.0,216754,519565,160890,92791
4,3.5,0.45,0.93,1.0,287663,436508,132452,133377
5,7.9,0.11,0.14,1.0,269445,452515,132476,135564
6,6.9,0.48,0.34,1.0,281966,442514,130905,134615
7,1.5,0.55,0.26,1.0,282942,453557,135247,118254
8,0.4,0.31,0.66,1.0,257025,484395,137948,110632
9,7.3,0.38,0.41,1.0,273670,457925,128082,130323
10,8.1,0.94,0.07,1.0,313021,432946,110999,133034
11,5.5,0.12,0.83,1.0,262557,470660,140768,116015
12,2.6,0.82,0.29,1.0,288064,476539,116611,108786
13,4.1,0.79,0.09,1.0,269423,464093,135863,120621
14,8.2,0.76,0.03,1.0,266034,469662,141362,112942
15,3.8,0.79,0.99,1.0,302579,429102,112130,146189
16,5.5,0.04,0.84,1.0,291994,465849,125001,107156
17,3.3,0.24,0.21,1.0,290441,435314,128312,135933
18,2.3,0.94,0.77,1.0,308581,409414,124784,147221
19,3.0,0.51,0.57,1.0,290740,431493,132402,135365
20,1.8,0.18,0.91,1.0,297528,441399,119533,131540
21,7.2,0.35,0.89,1.0,328910,396477,114409,150204
22,4.4,0.67,0.35,1.0,286124,459518,119121,125237
23,1.3,0.28,0.4,1.0,214033,524236,160968,90763
24,7.0,0.95,0.99,1.0,305097,430937,119707,134259
25,7.6,0.86,0.69,1.0,295855,443467,126134,124544
26,1.9,0.74,0.94,1.0,283039,447466,134987,124508
27,4.9,0.89,0.16,1.0,279866,432834,143534,133766
28,6.4,0.27,0.7,1.0,330980,384988,130323,143709
29,5.7,0.78,0.68,1.0,288653,448449,119049,133849
30,4.4,0.76,0.32,1.0,292928,434936,127537,134599
31,4.6,0.36,0.39,1.0,280080,460203,130304,119413
32,4.6,0.68,0.29,1.0,253166,476679,150415,109740
33,5.0,0.61,0.04,1.0,273106,472536,139649,104709
34,6.4,0.45,0.13,1.0,303106,415611,130047,141236
35,6.3,0.85,0.9,1.0,332995,391135,108592,157278
36,4.5,0.45,0.39,1.0,267687,454357,138767,129189
37,4.2,0.2,0.16,1.0,344488,400289,102096,143127
38,0.4,0.46,0.83,1.0,303236,434577,125139,127048
39,0.7,0.84,0.79,1.0,243572,494256,147998,104174
40,5.0,0.07,0.56,1.0,316404,403526,117472,152598
41,6.3,0.07,0.45,1.0,254812,488878,136367,109943
42,6.6,0.41,0.24,1.0,302856,417549,128235,141360
43,8.6,0.14,0.1,1.0,374955,334620,100541,179884
44,0.8,0.07,0.66,1.0,267567,464989,138995,118449
45,1.6,0.34,0.43,1.0,244871,498162,142899,104068
46,7.4,0.32,0.09,1.0,243144,509021,141011,96824
47,4.7,0.4,0.76,1.0,270960,445526,132705,140809
48,1.4,0.82,0.81,1.0,294786,445557,126954,122703
49,3.5,0.35,0.58,1.0,302438,418072,120861,148629
50,6.9,0.42,0.38,1.0,315268,403765,117484,153483
51,9.5,0.32,0.01,1.0,253784,490461,142292,103463
52,5.5,0.35,0.21,1.0,281601,446365,125654,136380
53,5.6,0.67,0.06,1.0,355946,369939,99153,164962
54,2.6,0.54,0.73,1.0,320089,412776,115817,141318
55,3.2,0.76,0.6,1.0,254967,488323,140925,105785
56,4.5,0.37,0.8,1.0,276435,463277,132832,117456
57,4.7,0.93,0.39,1.0,281481,462314,129901,116304
58,1.2,0.61,0.52,1.0,322461,397466,123152,146921
59,1.3,0.66,0.81,1.0,323274,409973,112162,144591
