,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,22,26,24,28
1,22,26,24,28
2,21,26,24,29
3,21,26,24,29
4,21,26,25,28
5,22,26,25,27
6,22,26,24,28
7,22,25,25,28
8,22,25,25,28
9,22,25,26,27
10,21,25,27,27
11,21,25,27,27
12,20,26,27,27
13,21,26,26,27
14,21,26,26,27
15,21,26,26,27
16,21,26,26,27
17,22,26,25,27
18,22,25,26,27
19,22,24,27,27
20,22,24,27,27
21,22,24,27,27
22,22,24,27,27
23,22,24,27,27
24,23,23,27,27
25,23,23,26,28
26,22,23,27,28
27,22,22,28,28
28,22,23,27,28
29,21,23,27,29
30,21,23,28,28
31,21,22,28,29
32,21,22,28,29
33,22,22,28,28
34,22,22,27,29
35,22,22,27,29
36,21,22,27,30
37,21,23,27,29
38,22,23,26,29
39,22,24,26,28
40,21,25,26,28
41,21,26,25,28
42,21,26,25,28
43,21,27,24,28
44,22,27,24,27
45,22,27,24,27
46,22,27,24,27
47,22,28,23,27
48,22,28,22,28
49,22,28,21,29
50,22,28,21,29
51,22,28,21,29
52,22,28,21,29
53,22,28,21,29
54,23,27,21,29
55,22,27,22,29
56,22,27,22,29
57,22,26,22,30
58,22,25,22,31
59,22,24,22,32
60,21,24,22,33
61,21,25,22,32
62,21,26,22,31
63,21,26,22,31
64,21,26,23,30
65,22,25,23,30
66,22,26,23,29
67,22,27,23,28
68,22,27,23,28
69,22,28,23,27
70,22,29,23,26
71,22,29,22,27
72,22,28,22,28
73,21,29,22,28
74,20,29,23,28
75,20,29,23,28
76,20,29,22,29
77,20,29,23,28
78,20,29,23,28
79,21,29,22,28
80,21,29,22,28
81,21,28,23,28
82,21,28,23,28
83,20,28,23,29
84,20,28,22,30
85,20,29,22,29
86,19,29,22,30
87,19,28,22,31
88,19,29,22,30
89,19,30,22,29
90,19,31,21,29
91,19,32,20,29
92,19,33,19,29
93,19,33,18,30
94,20,33,17,30
95,20,33,16,31
96,20,33,16,31
97,20,33,15,32
98,20,34,14,32
99,20,33,14,33
100,21,33,13,33
101,21,34,12,33
102,20,34,12,34
103,20,34,13,33
104,19,34,13,34
105,19,35,13,33
106,19,35,13,33
107,19,36,12,33
108,19,35,13,33
109,20,35,13,32
110,20,35,13,32
111,20,34,14,32
112,21,33,14,32
113,21,33,14,32
114,21,33,14,32
115,21,33,14,32
116,21,33,14,32
117,20,34,14,32
118,20,34,14,32
119,20,34,14,32
120,20,34,14,32
121,20,33,14,33
122,20,33,14,33
123,20,33,14,33
124,19,33,14,34
125,19,33,14,34
126,19,33,14,34
127,19,32,15,34
128,19,31,15,35
129,20,31,14,35
130,20,31,14,35
131,20,31,14,35
132,20,31,14,35
133,21,30,14,35
134,21,30,14,35
135,21,31,14,34
136,21,32,14,33
137,22,31,14,33
138,22,31,13,34
139,22,32,12,34
140,22,31,12,35
141,22,31,12,35
142,23,31,11,35
143,23,31,11,35
144,23,32,11,34
145,23,32,11,34
146,24,32,11,33
147,23,32,11,34
148,23,32,12,33
149,24,31,12,33
150,24,31,11,34
151,23,32,11,34
152,23,32,11,34
153,23,33,11,33
154,23,33,11,33
155,22,33,11,34
156,22,33,10,35
157,22,34,9,35
158,22,34,9,35
159,22,34,9,35
160,22,35,9,34
161,22,35,8,35
162,22,35,8,35
163,22,34,8,36
164,23,34,8,35
165,23,34,8,35
166,23,35,8,34
167,23,35,8,34
168,22,36,8,34
169,21,36,8,35
170,20,36,8,36
171,20,35,8,37
172,20,34,8,38
173,20,33,8,39
174,20,32,8,40
175,21,32,8,39
176,21,32,8,39
177,21,32,8,39
178,21,31,9,39
179,21,32,9,38
180,22,32,8,38
181,21,33,8,38
182,21,34,8,37
183,21,34,8,37
184,21,35,8,36
185,22,34,8,36
186,22,34,9,35
187,22,34,9,35
188,22,34,8,36
189,21,34,8,37
190,22,34,7,37
191,23,34,7,36
192,23,34,7,36
193,23,35,6,36
194,24,34,6,36
195,25,33,6,36
196,25,34,6,35
197,25,33,7,35
198,26,33,7,34
199,26,33,7,34
200,26,33,7,34
201,27,32,7,34
202,26,32,8,34
203,27,31,8,34
204,27,30,8,35
205,27,30,8,35
206,27,30,8,35
207,27,31,8,34
208,27,31,8,34
209,27,31,8,34
210,28,30,8,34
211,29,30,7,34
212,29,30,8,33
213,29,31,8,32
214,28,32,8,32
215,28,32,8,32
216,28,32,8,32
217,28,31,8,33
218,28,32,8,32
219,28,32,8,32
220,27,33,8,32
221,28,33,7,32
222,28,34,7,31
223,28,35,7,30
224,27,36,7,30
225,27,36,7,30
226,26,36,7,31
227,27,36,7,30
228,26,37,7,30
229,26,37,7,30
230,25,37,7,31
231,25,37,6,32
232,25,38,6,31
233,25,37,7,31
234,24,37,8,31
235,25,36,8,31
236,25,35,9,31
237,25,34,9,32
238,25,34,9,32
239,25,33,10,32
240,25,33,10,32
241,26,32,10,32
242,25,32,11,32
243,26,31,11,32
244,26,32,11,31
245,27,31,11,31
246,27,30,11,32
247,27,31,11,31
248,27,30,11,32
249,26,30,11,33
250,25,30,12,33
251,26,30,12,32
252,25,31,12,32
253,25,30,12,33
254,24,31,12,33
255,24,32,12,32
256,24,33,12,31
257,24,33,12,31
258,25,32,12,31
259,26,31,12,31
260,26,32,12,30
261,25,32,12,31
262,25,31,13,31
263,26,31,13,30
264,26,31,13,30
265,26,31,13,30
266,25,32,13,30
267,24,32,14,30
268,24,32,14,30
269,24,32,14,30
270,25,32,13,30
271,25,33,13,29
272,25,32,13,30
273,25,32,13,30
274,25,32,13,30
275,25,33,12,30
276,26,32,12,30
277,26,32,12,30
278,26,31,12,31
279,26,31,12,31
280,26,31,13,30
281,26,30,13,31
282,26,30,13,31
283,26,30,13,31
284,25,30,13,32
285,25,31,13,31
286,24,32,13,31
287,25,31,13,31
288,26,30,13,31
289,27,30,13,30
290,27,31,12,30
291,27,31,12,30
292,27,31,12,30
293,27,31,13,29
294,27,30,13,30
295,27,29,13,31
296,27,29,14,30
297,28,28,14,30
298,28,28,14,30
299,29,28,13,30
300,28,28,13,31
301,28,27,14,31
302,28,27,14,31
303,27,27,15,31
304,26,28,15,31
305,25,28,15,32
306,25,27,16,32
307,26,27,16,31
308,26,27,16,31
309,26,27,16,31
310,25,27,16,32
311,24,28,16,32
312,23,28,16,33
313,23,29,15,33
314,23,29,15,33
315,23,29,14,34
316,23,29,14,34
317,24,28,14,34
318,24,27,14,35
319,25,26,14,35
320,25,25,14,36
321,26,24,14,36
322,26,24,15,35
323,25,25,15,35
324,26,24,15,35
325,26,24,15,35
326,26,25,15,34
327,26,25,15,34
328,26,25,15,34
329,26,26,14,34
330,26,26,14,34
331,26,26,14,34
332,26,26,15,33
333,26,26,15,33
334,25,26,16,33
335,25,25,16,34
336,24,25,16,35
337,24,25,17,34
338,25,25,16,34
339,25,25,16,34
340,26,24,16,34
341,27,23,16,34
342,26,23,16,35
343,26,23,16,35
344,27,23,16,34
345,26,23,16,35
346,27,23,16,34
347,27,23,16,34
348,28,23,15,34
349,27,24,15,34
350,27,24,15,34
351,28,24,15,33
352,28,23,15,34
353,28,23,15,34
354,29,23,15,33
355,28,23,16,33
356,29,23,16,32
357,29,24,16,31
358,29,23,16,32
359,29,23,16,32
360,29,23,16,32
361,29,23,16,32
362,29,24,15,32
363,28,24,15,33
364,28,24,15,33
365,28,23,15,34
366,29,23,15,33
367,30,23,15,32
368,31,23,15,31
369,30,23,16,31
370,29,24,16,31
371,30,24,15,31
372,30,23,15,32
373,30,23,15,32
374,30,23,15,32
375,31,23,15,31
376,31,23,14,32
377,31,23,15,31
378,32,22,15,31
379,32,22,15,31
380,32,22,15,31
381,32,22,15,31
382,32,23,15,30
383,32,23,14,31
384,33,23,14,30
385,32,23,14,31
386,32,23,14,31
387,32,23,14,31
388,33,23,14,30
389,33,22,14,31
390,33,22,14,31
391,33,23,13,31
392,32,24,13,31
