,m,d,r,w,P,R,S,T
0,5.0,0.36,0.5,1.0,200311,561186,114736,113767
1,5.0,0.38,0.3,1.0,214082,537928,112974,125016
2,5.0,0.16,0.27,1.0,151103,616530,136635,85732
3,5.0,0.19,0.22,1.0,246665,500776,100522,142037
4,5.0,0.2,0.48,1.0,196068,567512,121979,104441
5,5.0,0.59,0.22,1.0,244412,515726,100692,129170
6,5.0,0.23,0.59,1.0,215259,548548,116251,109942
7,5.0,0.66,0.21,1.0,201076,562777,122764,103383
8,5.0,0.28,0.2,1.0,178744,592499,124292,94465
9,5.0,0.74,0.24,1.0,196123,569627,120451,103799
10,5.0,0.16,0.64,1.0,143596,638357,132914,75133
11,5.0,0.28,0.64,1.0,186244,574467,121771,107518
12,5.0,0.23,0.63,1.0,269713,464991,103504,151792
13,5.0,0.3,0.62,1.0,237631,521728,110665,119976
14,5.0,0.36,0.36,1.0,213719,538545,114716,123020
15,5.0,0.36,0.29,1.0,246700,496955,106439,139906
16,5.0,0.16,0.38,1.0,235266,513498,113690,127546
17,5.0,0.33,0.4,1.0,168860,600907,132240,87993
18,5.0,0.23,0.47,1.0,217048,548969,108887,115096
19,5.0,0.54,0.34,1.0,207149,554942,119955,107954
20,5.0,0.27,0.23,1.0,188372,574018,119548,108062
21,5.0,0.16,0.31,1.0,237956,509845,107122,135077
22,5.0,0.21,0.53,1.0,182668,579432,124158,103742
23,5.0,0.29,0.23,1.0,176182,604487,123871,85460
24,5.0,0.33,0.29,1.0,178930,587706,128883,94481
25,5.0,0.2,0.32,1.0,161860,610122,130507,87511
26,5.0,0.18,0.35,1.0,204613,575977,112651,96759
27,5.0,0.22,0.22,1.0,236578,525174,107266,120982
28,5.0,0.27,1.0,1.0,210558,549627,112182,117633
29,5.0,0.32,0.26,1.0,173087,590585,130396,95932
30,5.0,0.18,0.22,1.0,169539,596255,129332,94874
31,5.0,0.99,0.75,1.0,214450,543957,108857,122736
32,5.0,0.53,0.33,1.0,267217,481564,95453,145766
33,5.0,0.29,0.26,1.0,197414,551662,120957,119967
34,5.0,0.33,0.57,1.0,254190,502024,109342,124444
35,5.0,0.17,0.51,1.0,204245,561274,111760,112721
36,5.0,0.23,0.35,1.0,211445,541474,116101,120980
37,5.0,0.27,0.3,1.0,238282,506657,104414,140647
38,5.0,0.25,0.8,1.0,240043,508410,99445,142102
39,5.0,0.16,0.43,1.0,196312,574674,120038,98976
40,5.0,0.54,0.61,1.0,254486,507741,103583,124190
41,5.0,0.52,0.21,1.0,227036,530518,110051,122395
42,5.0,0.21,0.23,1.0,193745,587486,114460,94309
43,5.0,0.93,0.58,1.0,223923,545301,110323,110453
44,5.0,0.48,0.6,1.0,185236,584587,121435,98742
45,5.0,0.58,0.21,1.0,227489,543135,107854,111522
46,5.0,0.35,0.58,1.0,211160,548705,106189,123946
47,5.0,0.17,0.32,1.0,190148,574136,122428,103288
48,5.0,0.96,0.31,1.0,205023,551976,108763,124238
49,5.0,0.58,0.2,1.0,212155,550229,113559,114057
50,5.0,0.47,0.27,1.0,188933,566585,125119,109363
51,5.0,0.17,0.26,1.0,209251,555318,112106,113325
52,5.0,0.34,0.56,1.0,211262,567666,111472,99600
53,5.0,0.25,0.35,1.0,223923,530517,114776,120784
54,5.0,0.25,0.3,1.0,211035,552835,107682,118448
55,5.0,0.54,0.39,1.0,183664,582758,130890,92688
56,5.0,0.22,0.32,1.0,213536,548733,116062,111669
57,5.0,0.17,0.92,1.0,266705,493361,95628,134306
58,5.0,0.16,0.57,1.0,196105,556354,129830,107711
59,5.0,0.36,0.64,1.0,231682,527806,109994,120518
60,5.0,0.48,0.28,1.0,184654,592314,122523,90509
61,5.0,0.85,0.31,1.0,233007,512822,113324,130847
62,5.0,0.25,0.61,1.0,240524,528051,103412,118013
63,5.0,0.37,0.3,1.0,223739,525037,114507,126717
64,5.0,0.6,0.4,1.0,226203,543691,112353,107753
65,5.0,0.8,0.43,1.0,199478,565862,121456,103204
66,5.0,0.23,0.24,1.0,235264,524696,108399,121641
67,5.0,0.25,0.21,1.0,214832,527742,124101,123325
68,5.0,0.16,0.22,1.0,216541,543412,116992,113055
69,5.0,0.2,0.32,1.0,238236,513039,104055,134670
70,5.0,0.58,0.2,1.0,248078,512455,105713,123754
71,5.0,0.27,0.79,1.0,211891,538918,120343,118848
72,5.0,0.15,0.24,1.0,168045,606407,130015,85533
73,5.0,0.18,0.2,1.0,156063,601889,133935,98113
74,5.0,0.53,0.41,1.0,254963,496337,100840,137860
75,5.0,0.15,0.22,1.0,215323,541551,112899,120227
76,5.0,0.28,0.31,1.0,237364,505624,107839,139173
77,5.0,0.16,0.32,1.0,258284,478331,97596,155789
78,5.0,0.58,0.71,1.0,224134,540940,107397,117529
79,5.0,0.2,0.38,1.0,233212,527683,108664,120441
80,5.0,0.28,0.31,1.0,147828,631843,134082,76247
81,5.0,0.23,0.78,1.0,187320,580204,117117,105359
82,5.0,0.31,0.22,1.0,196516,561601,121474,110409
83,5.0,0.25,0.52,1.0,243640,531601,100976,113783
84,5.0,0.44,0.24,1.0,216339,539449,110138,124074
85,5.0,0.17,0.22,1.0,194853,593178,112586,89383
86,5.0,0.16,0.44,1.0,264142,487294,104197,134367
87,5.0,0.2,0.54,1.0,189199,586447,116040,98314
88,5.0,0.26,0.42,1.0,219021,539048,118263,113668
89,5.0,0.19,0.72,1.0,240171,514392,107053,128384
90,5.0,0.51,0.21,1.0,232645,528717,107170,121468
91,5.0,0.15,0.25,1.0,237735,515985,111196,125084
92,5.0,0.22,0.26,1.0,213818,544367,116263,115552
93,5.0,0.15,0.51,1.0,244921,508175,108660,128244
94,5.0,0.35,0.6,1.0,200331,555946,120385,113338
95,5.0,0.38,0.88,1.0,166513,608583,126728,88176
96,5.0,0.52,0.38,1.0,210898,545768,117623,115711
97,5.0,0.28,0.96,1.0,228971,511624,116647,132758
98,5.0,0.56,0.34,1.0,265848,486704,95291,142157
99,5.0,0.17,0.21,1.0,204749,563926,114038,107287
