,Mutual_Cooperation,Mutual_Defection,Exploitation
0,2453.0,414.0,2083.0
1,2365.0,1416.0,1169.0
2,2322.0,1402.0,1226.0
3,2323.0,1440.0,1187.0
4,2258.0,1456.0,1236.0
5,2235.0,1454.0,1261.0
6,2236.0,1427.0,1287.0
7,2193.0,1463.0,1294.0
8,2192.0,1486.0,1272.0
9,2170.0,1450.0,1330.0
10,2138.0,1453.0,1359.0
11,2174.0,1420.0,1356.0
12,2173.0,1456.0,1321.0
13,2086.0,1449.0,1415.0
14,2085.0,1531.0,1334.0
15,2078.0,1524.0,1348.0
16,2036.0,1526.0,1388.0
17,2095.0,1521.0,1334.0
18,2080.0,1508.0,1362.0
19,2014.0,1548.0,1388.0
20,2064.0,1556.0,1330.0
21,2055.0,1586.0,1309.0
22,2042.0,1579.0,1329.0
23,1999.0,1565.0,1386.0
24,2028.0,1562.0,1360.0
25,2027.0,1567.0,1356.0
26,2007.0,1596.0,1347.0
27,1979.0,1616.0,1355.0
28,1960.0,1661.0,1329.0
29,1998.0,1685.0,1267.0
30,1995.0,1687.0,1268.0
31,1972.0,1679.0,1299.0
32,1992.0,1650.0,1308.0
33,1986.0,1618.0,1346.0
34,1938.0,1639.0,1373.0
35,1948.0,1664.0,1338.0
36,1951.0,1638.0,1361.0
37,1907.0,1698.0,1345.0
38,1898.0,1717.0,1335.0
39,1902.0,1740.0,1308.0
40,1841.0,1799.0,1310.0
41,1853.0,1772.0,1325.0
42,1876.0,1805.0,1269.0
43,1806.0,1809.0,1335.0
44,1742.0,1882.0,1326.0
45,1736.0,1923.0,1291.0
46,1725.0,1885.0,1340.0
47,1713.0,1869.0,1368.0
48,1766.0,1823.0,1361.0
49,1804.0,1811.0,1335.0
50,1778.0,1813.0,1359.0
51,1789.0,1803.0,1358.0
52,1770.0,1844.0,1336.0
53,1780.0,1812.0,1358.0
54,1800.0,1804.0,1346.0
55,1819.0,1776.0,1355.0
56,1813.0,1757.0,1380.0
57,1837.0,1788.0,1325.0
58,1779.0,1793.0,1378.0
59,1805.0,1791.0,1354.0
60,1784.0,1819.0,1347.0
61,1752.0,1812.0,1386.0
62,1789.0,1804.0,1357.0
63,1802.0,1761.0,1387.0
64,1775.0,1765.0,1410.0
65,1766.0,1810.0,1374.0
66,1789.0,1810.0,1351.0
67,1789.0,1810.0,1351.0
68,1824.0,1711.0,1415.0
69,1892.0,1718.0,1340.0
70,1879.0,1697.0,1374.0
71,1910.0,1704.0,1336.0
72,1896.0,1710.0,1344.0
73,1839.0,1701.0,1410.0
74,1824.0,1743.0,1383.0
75,1805.0,1745.0,1400.0
76,1789.0,1798.0,1363.0
77,1752.0,1797.0,1401.0
78,1705.0,1843.0,1402.0
79,1718.0,1823.0,1409.0
80,1732.0,1826.0,1392.0
81,1694.0,1815.0,1441.0
82,1731.0,1771.0,1448.0
83,1701.0,1794.0,1455.0
84,1693.0,1792.0,1465.0
85,1751.0,1723.0,1476.0
86,1818.0,1723.0,1409.0
87,1771.0,1753.0,1426.0
88,1767.0,1731.0,1452.0
89,1783.0,1738.0,1429.0
90,1742.0,1743.0,1465.0
91,1701.0,1817.0,1432.0
92,1739.0,1749.0,1462.0
93,1776.0,1721.0,1453.0
94,1746.0,1754.0,1450.0
95,1771.0,1790.0,1389.0
96,1699.0,1804.0,1447.0
97,1726.0,1756.0,1468.0
98,1784.0,1737.0,1429.0
99,1807.0,1652.0,1491.0
100,1851.0,1624.0,1475.0
101,1868.0,1574.0,1508.0
102,1831.0,1596.0,1523.0
103,1771.0,1648.0,1531.0
104,1820.0,1636.0,1494.0
105,1794.0,1669.0,1487.0
106,1772.0,1691.0,1487.0
107,1790.0,1644.0,1516.0
108,1846.0,1634.0,1470.0
109,1840.0,1613.0,1497.0
110,1850.0,1605.0,1495.0
111,1859.0,1619.0,1472.0
112,1868.0,1631.0,1451.0
113,1834.0,1664.0,1452.0
114,1767.0,1709.0,1474.0
115,1735.0,1720.0,1495.0
116,1747.0,1710.0,1493.0
117,1772.0,1719.0,1459.0
118,1712.0,1734.0,1504.0
119,1684.0,1777.0,1489.0
120,1720.0,1753.0,1477.0
121,1664.0,1780.0,1506.0
122,1708.0,1764.0,1478.0
123,1728.0,1749.0,1473.0
124,1739.0,1728.0,1483.0
125,1722.0,1761.0,1467.0
126,1747.0,1724.0,1479.0
127,1748.0,1737.0,1465.0
128,1798.0,1658.0,1494.0
129,1855.0,1663.0,1432.0
130,1897.0,1593.0,1460.0
131,1953.0,1583.0,1414.0
132,1944.0,1551.0,1455.0
133,1941.0,1599.0,1410.0
134,1947.0,1600.0,1403.0
135,1930.0,1616.0,1404.0
136,1866.0,1584.0,1500.0
137,1874.0,1622.0,1454.0
138,1905.0,1632.0,1413.0
139,1933.0,1612.0,1405.0
140,1939.0,1620.0,1391.0
141,1965.0,1599.0,1386.0
142,1963.0,1593.0,1394.0
143,1928.0,1597.0,1425.0
144,1945.0,1574.0,1431.0
145,1940.0,1572.0,1438.0
146,1879.0,1620.0,1451.0
147,1890.0,1635.0,1425.0
148,1895.0,1630.0,1425.0
149,1918.0,1641.0,1391.0
150,1895.0,1621.0,1434.0
151,1848.0,1656.0,1446.0
152,1854.0,1673.0,1423.0
153,1869.0,1620.0,1461.0
154,1884.0,1599.0,1467.0
155,1885.0,1544.0,1521.0
156,1896.0,1540.0,1514.0
157,1948.0,1479.0,1523.0
158,1924.0,1487.0,1539.0
159,1918.0,1480.0,1552.0
160,1888.0,1514.0,1548.0
161,1883.0,1535.0,1532.0
162,1927.0,1507.0,1516.0
163,1944.0,1495.0,1511.0
164,1960.0,1464.0,1526.0
165,1959.0,1513.0,1478.0
166,1952.0,1516.0,1482.0
167,1977.0,1468.0,1505.0
168,1955.0,1513.0,1482.0
169,1967.0,1479.0,1504.0
170,2017.0,1437.0,1496.0
171,2050.0,1411.0,1489.0
172,2053.0,1427.0,1470.0
173,2070.0,1395.0,1485.0
174,2119.0,1319.0,1512.0
175,2126.0,1336.0,1488.0
176,2153.0,1354.0,1443.0
177,2155.0,1351.0,1444.0
178,2172.0,1353.0,1425.0
179,2168.0,1333.0,1449.0
180,2122.0,1327.0,1501.0
181,2132.0,1299.0,1519.0
182,2098.0,1317.0,1535.0
183,2138.0,1324.0,1488.0
184,2139.0,1359.0,1452.0
185,2152.0,1310.0,1488.0
186,2156.0,1342.0,1452.0
187,2190.0,1301.0,1459.0
188,2241.0,1268.0,1441.0
189,2222.0,1293.0,1435.0
190,2179.0,1276.0,1495.0
191,2226.0,1305.0,1419.0
192,2213.0,1317.0,1420.0
193,2192.0,1292.0,1466.0
194,2193.0,1319.0,1438.0
195,2122.0,1333.0,1495.0
196,2087.0,1342.0,1521.0
197,2098.0,1349.0,1503.0
198,2098.0,1366.0,1486.0
199,2099.0,1350.0,1501.0
200,2097.0,1331.0,1522.0
201,2038.0,1357.0,1555.0
202,2077.0,1313.0,1560.0
203,2150.0,1258.0,1542.0
204,2216.0,1180.0,1554.0
205,2244.0,1220.0,1486.0
206,2250.0,1220.0,1480.0
207,2273.0,1225.0,1452.0
208,2231.0,1271.0,1448.0
209,2224.0,1266.0,1460.0
210,2267.0,1251.0,1432.0
211,2326.0,1246.0,1378.0
212,2330.0,1245.0,1375.0
213,2321.0,1243.0,1386.0
214,2339.0,1242.0,1369.0
215,2389.0,1222.0,1339.0
216,2387.0,1199.0,1364.0
217,2349.0,1221.0,1380.0
218,2354.0,1249.0,1347.0
219,2349.0,1227.0,1374.0
220,2381.0,1220.0,1349.0
221,2432.0,1207.0,1311.0
222,2480.0,1125.0,1345.0
223,2463.0,1112.0,1375.0
224,2513.0,1149.0,1288.0
225,2522.0,1135.0,1293.0
226,2496.0,1095.0,1359.0
227,2501.0,1113.0,1336.0
228,2472.0,1124.0,1354.0
229,2520.0,1099.0,1331.0
230,2521.0,1096.0,1333.0
231,2518.0,1077.0,1355.0
232,2541.0,1056.0,1353.0
233,2577.0,1068.0,1305.0
234,2596.0,1083.0,1271.0
235,2562.0,1049.0,1339.0
236,2630.0,1044.0,1276.0
237,2634.0,992.0,1324.0
238,2692.0,978.0,1280.0
239,2702.0,972.0,1276.0
240,2703.0,932.0,1315.0
241,2722.0,940.0,1288.0
242,2726.0,919.0,1305.0
243,2776.0,896.0,1278.0
244,2771.0,876.0,1303.0
245,2786.0,857.0,1307.0
246,2785.0,858.0,1307.0
247,2799.0,863.0,1288.0
248,2713.0,877.0,1360.0
249,2724.0,957.0,1269.0
250,2710.0,952.0,1288.0
251,2734.0,939.0,1277.0
252,2731.0,958.0,1261.0
253,2729.0,922.0,1299.0
254,2786.0,902.0,1262.0
255,2831.0,897.0,1222.0
256,2835.0,901.0,1214.0
257,2826.0,866.0,1258.0
258,2850.0,856.0,1244.0
259,2843.0,863.0,1244.0
260,2856.0,861.0,1233.0
261,2859.0,858.0,1233.0
262,2893.0,840.0,1217.0
263,2929.0,806.0,1215.0
264,2977.0,782.0,1191.0
265,2970.0,784.0,1196.0
266,2972.0,797.0,1181.0
267,2968.0,789.0,1193.0
268,2938.0,802.0,1210.0
269,2954.0,768.0,1228.0
270,2988.0,785.0,1177.0
271,2965.0,792.0,1193.0
272,2961.0,787.0,1202.0
273,2884.0,804.0,1262.0
274,2872.0,831.0,1247.0
275,2892.0,827.0,1231.0
276,2880.0,839.0,1231.0
277,2949.0,814.0,1187.0
278,2945.0,813.0,1192.0
279,2952.0,822.0,1176.0
280,2943.0,813.0,1194.0
281,2954.0,821.0,1175.0
282,2971.0,820.0,1159.0
283,2882.0,830.0,1238.0
284,2898.0,791.0,1261.0
285,2955.0,803.0,1192.0
286,2985.0,782.0,1183.0
287,3005.0,771.0,1174.0
288,3015.0,779.0,1156.0
289,3087.0,750.0,1113.0
290,3078.0,721.0,1151.0
291,3103.0,705.0,1142.0
292,3054.0,723.0,1173.0
293,3073.0,737.0,1140.0
294,3070.0,746.0,1134.0
295,3102.0,716.0,1132.0
296,3117.0,736.0,1097.0
297,3144.0,696.0,1110.0
298,3135.0,675.0,1140.0
299,3150.0,708.0,1092.0
300,3154.0,695.0,1101.0
301,3131.0,718.0,1101.0
302,3157.0,670.0,1123.0
303,3222.0,661.0,1067.0
304,3204.0,642.0,1104.0
305,3237.0,643.0,1070.0
306,3257.0,629.0,1064.0
307,3281.0,605.0,1064.0
308,3282.0,607.0,1061.0
309,3281.0,609.0,1060.0
310,3289.0,595.0,1066.0
311,3262.0,600.0,1088.0
312,3252.0,605.0,1093.0
313,3185.0,640.0,1125.0
314,3235.0,651.0,1064.0
315,3248.0,642.0,1060.0
316,3209.0,636.0,1105.0
317,3258.0,612.0,1080.0
318,3229.0,625.0,1096.0
319,3232.0,593.0,1125.0
320,3273.0,601.0,1076.0
321,3270.0,573.0,1107.0
322,3302.0,585.0,1063.0
323,3304.0,583.0,1063.0
324,3324.0,559.0,1067.0
325,3286.0,575.0,1089.0
326,3277.0,576.0,1097.0
327,3270.0,594.0,1086.0
328,3288.0,571.0,1091.0
329,3291.0,567.0,1092.0
330,3301.0,589.0,1060.0
331,3209.0,594.0,1147.0
332,3208.0,624.0,1118.0
333,3228.0,623.0,1099.0
334,3204.0,606.0,1140.0
335,3200.0,614.0,1136.0
336,3226.0,592.0,1132.0
337,3172.0,625.0,1153.0
338,3263.0,589.0,1098.0
339,3297.0,566.0,1087.0
340,3320.0,551.0,1079.0
341,3269.0,560.0,1121.0
342,3219.0,565.0,1166.0
343,3215.0,587.0,1148.0
344,3231.0,602.0,1117.0
345,3205.0,585.0,1160.0
346,3146.0,622.0,1182.0
347,3143.0,618.0,1189.0
348,3164.0,633.0,1153.0
349,3151.0,629.0,1170.0
350,3164.0,623.0,1163.0
351,3170.0,616.0,1164.0
352,3077.0,635.0,1238.0
353,3072.0,658.0,1220.0
354,3132.0,605.0,1213.0
355,3167.0,596.0,1187.0
356,3190.0,617.0,1143.0
357,3226.0,563.0,1161.0
358,3266.0,545.0,1139.0
359,3261.0,565.0,1124.0
360,3232.0,581.0,1137.0
361,3316.0,576.0,1058.0
362,3295.0,569.0,1086.0
363,3268.0,590.0,1092.0
364,3212.0,571.0,1167.0
365,3205.0,596.0,1149.0
366,3213.0,619.0,1118.0
367,3242.0,568.0,1140.0
368,3325.0,527.0,1098.0
369,3365.0,502.0,1083.0
370,3310.0,551.0,1089.0
371,3299.0,540.0,1111.0
372,3341.0,529.0,1080.0
373,3406.0,525.0,1019.0
374,3405.0,532.0,1013.0
375,3440.0,476.0,1034.0
376,3474.0,469.0,1007.0
377,3479.0,455.0,1016.0
378,3449.0,466.0,1035.0
379,3397.0,452.0,1101.0
380,3492.0,449.0,1009.0
381,3546.0,397.0,1007.0
382,3573.0,402.0,975.0
383,3608.0,399.0,943.0
384,3612.0,386.0,952.0
385,3623.0,384.0,943.0
386,3595.0,379.0,976.0
387,3618.0,388.0,944.0
388,3648.0,384.0,918.0
389,3554.0,374.0,1022.0
390,3575.0,390.0,985.0
391,3481.0,431.0,1038.0
392,3486.0,448.0,1016.0
393,3499.0,443.0,1008.0
394,3471.0,435.0,1044.0
395,3492.0,438.0,1020.0
396,3496.0,446.0,1008.0
397,3423.0,453.0,1074.0
398,3441.0,505.0,1004.0
399,3420.0,491.0,1039.0
400,3342.0,484.0,1124.0
401,3325.0,522.0,1103.0
402,3354.0,499.0,1097.0
403,3359.0,516.0,1075.0
404,3404.0,494.0,1052.0
405,3418.0,478.0,1054.0
406,3415.0,479.0,1056.0
407,3461.0,448.0,1041.0
