,Mutual_Cooperation,Mutual_Defection,Exploitation
0,2277.0,507.0,2166.0
1,2227.0,1548.0,1175.0
2,2196.0,1520.0,1234.0
3,2172.0,1509.0,1269.0
4,2116.0,1559.0,1275.0
5,2109.0,1532.0,1309.0
6,2057.0,1585.0,1308.0
7,2019.0,1563.0,1368.0
8,2037.0,1521.0,1392.0
9,2096.0,1532.0,1322.0
10,2105.0,1500.0,1345.0
11,2142.0,1500.0,1308.0
12,2155.0,1496.0,1299.0
13,2130.0,1471.0,1349.0
14,2170.0,1397.0,1383.0
15,2213.0,1382.0,1355.0
16,2153.0,1440.0,1357.0
17,2086.0,1491.0,1373.0
18,2110.0,1540.0,1300.0
19,2101.0,1508.0,1341.0
20,2124.0,1506.0,1320.0
21,2157.0,1499.0,1294.0
22,2139.0,1461.0,1350.0
23,2147.0,1450.0,1353.0
24,2116.0,1427.0,1407.0
25,2135.0,1445.0,1370.0
26,2148.0,1409.0,1393.0
27,2098.0,1466.0,1386.0
28,2024.0,1489.0,1437.0
29,2042.0,1561.0,1347.0
30,2058.0,1519.0,1373.0
31,2003.0,1512.0,1435.0
32,2020.0,1568.0,1362.0
33,2023.0,1585.0,1342.0
34,2002.0,1546.0,1402.0
35,2020.0,1556.0,1374.0
36,2036.0,1560.0,1354.0
37,2054.0,1555.0,1341.0
38,2059.0,1514.0,1377.0
39,2060.0,1503.0,1387.0
40,2060.0,1468.0,1422.0
41,2057.0,1469.0,1424.0
42,2024.0,1489.0,1437.0
43,2065.0,1427.0,1458.0
44,2117.0,1444.0,1389.0
45,2093.0,1477.0,1380.0
46,2128.0,1476.0,1346.0
47,2124.0,1409.0,1417.0
48,2147.0,1389.0,1414.0
49,2175.0,1362.0,1413.0
50,2222.0,1299.0,1429.0
51,2301.0,1267.0,1382.0
52,2347.0,1269.0,1334.0
53,2366.0,1247.0,1337.0
54,2366.0,1251.0,1333.0
55,2423.0,1241.0,1286.0
56,2417.0,1241.0,1292.0
57,2479.0,1211.0,1260.0
58,2440.0,1204.0,1306.0
59,2462.0,1198.0,1290.0
60,2470.0,1172.0,1308.0
61,2508.0,1120.0,1322.0
62,2554.0,1089.0,1307.0
63,2570.0,1080.0,1300.0
64,2615.0,1025.0,1310.0
65,2647.0,1021.0,1282.0
66,2654.0,1000.0,1296.0
67,2673.0,1020.0,1257.0
68,2691.0,1023.0,1236.0
69,2644.0,1028.0,1278.0
70,2667.0,1035.0,1248.0
71,2675.0,1034.0,1241.0
72,2656.0,1043.0,1251.0
73,2642.0,1057.0,1251.0
74,2671.0,1024.0,1255.0
75,2685.0,1020.0,1245.0
76,2708.0,1003.0,1239.0
77,2681.0,1003.0,1266.0
78,2684.0,1015.0,1251.0
79,2652.0,1009.0,1289.0
80,2679.0,1015.0,1256.0
81,2686.0,1026.0,1238.0
82,2608.0,1032.0,1310.0
83,2528.0,1080.0,1342.0
84,2508.0,1117.0,1325.0
85,2532.0,1105.0,1313.0
86,2582.0,1066.0,1302.0
87,2606.0,1043.0,1301.0
88,2563.0,1070.0,1317.0
89,2597.0,1110.0,1243.0
90,2543.0,1116.0,1291.0
91,2551.0,1104.0,1295.0
92,2558.0,1104.0,1288.0
93,2590.0,1131.0,1229.0
94,2582.0,1099.0,1269.0
95,2530.0,1122.0,1298.0
96,2521.0,1147.0,1282.0
97,2506.0,1143.0,1301.0
98,2574.0,1098.0,1278.0
99,2648.0,1075.0,1227.0
100,2679.0,1056.0,1215.0
101,2669.0,1012.0,1269.0
102,2654.0,1037.0,1259.0
103,2670.0,1015.0,1265.0
104,2684.0,974.0,1292.0
105,2733.0,959.0,1258.0
106,2693.0,966.0,1291.0
107,2628.0,1024.0,1298.0
108,2627.0,1047.0,1276.0
109,2645.0,1014.0,1291.0
110,2626.0,1007.0,1317.0
111,2552.0,1005.0,1393.0
112,2575.0,1053.0,1322.0
113,2557.0,1067.0,1326.0
114,2554.0,1022.0,1374.0
115,2553.0,1038.0,1359.0
116,2573.0,1055.0,1322.0
117,2592.0,1078.0,1280.0
118,2602.0,1053.0,1295.0
119,2525.0,1099.0,1326.0
120,2468.0,1135.0,1347.0
121,2463.0,1172.0,1315.0
122,2391.0,1203.0,1356.0
123,2348.0,1256.0,1346.0
124,2354.0,1277.0,1319.0
125,2389.0,1199.0,1362.0
126,2403.0,1188.0,1359.0
127,2418.0,1198.0,1334.0
128,2422.0,1244.0,1284.0
129,2439.0,1231.0,1280.0
130,2451.0,1224.0,1275.0
131,2390.0,1235.0,1325.0
132,2314.0,1321.0,1315.0
133,2283.0,1337.0,1330.0
134,2292.0,1373.0,1285.0
135,2245.0,1438.0,1267.0
136,2189.0,1461.0,1300.0
137,2173.0,1478.0,1299.0
138,2095.0,1508.0,1347.0
139,2078.0,1547.0,1325.0
140,2058.0,1606.0,1286.0
141,2085.0,1530.0,1335.0
142,2116.0,1569.0,1265.0
143,2026.0,1609.0,1315.0
144,2026.0,1622.0,1302.0
145,2026.0,1595.0,1329.0
146,1993.0,1605.0,1352.0
147,1982.0,1623.0,1345.0
148,1999.0,1637.0,1314.0
149,1929.0,1677.0,1344.0
150,1861.0,1755.0,1334.0
151,1852.0,1772.0,1326.0
152,1853.0,1745.0,1352.0
153,1873.0,1752.0,1325.0
154,1834.0,1742.0,1374.0
155,1806.0,1780.0,1364.0
156,1865.0,1779.0,1306.0
157,1891.0,1751.0,1308.0
158,1906.0,1685.0,1359.0
159,1910.0,1669.0,1371.0
160,1911.0,1688.0,1351.0
161,1877.0,1690.0,1383.0
162,1909.0,1736.0,1305.0
163,1863.0,1761.0,1326.0
164,1871.0,1794.0,1285.0
165,1859.0,1776.0,1315.0
166,1853.0,1718.0,1379.0
167,1816.0,1769.0,1365.0
168,1830.0,1793.0,1327.0
169,1751.0,1814.0,1385.0
170,1763.0,1807.0,1380.0
171,1756.0,1826.0,1368.0
172,1809.0,1755.0,1386.0
173,1819.0,1741.0,1390.0
174,1823.0,1796.0,1331.0
175,1833.0,1801.0,1316.0
176,1880.0,1720.0,1350.0
177,1926.0,1687.0,1337.0
178,1932.0,1673.0,1345.0
179,1916.0,1682.0,1352.0
180,1903.0,1673.0,1374.0
181,1890.0,1677.0,1383.0
182,1900.0,1696.0,1354.0
183,1908.0,1678.0,1364.0
184,1912.0,1673.0,1365.0
185,1899.0,1679.0,1372.0
186,1903.0,1679.0,1368.0
187,1831.0,1736.0,1383.0
188,1800.0,1762.0,1388.0
189,1785.0,1840.0,1325.0
190,1748.0,1848.0,1354.0
191,1739.0,1849.0,1362.0
192,1757.0,1862.0,1331.0
193,1769.0,1859.0,1322.0
194,1805.0,1825.0,1320.0
195,1826.0,1816.0,1308.0
196,1754.0,1862.0,1334.0
197,1784.0,1897.0,1269.0
198,1795.0,1885.0,1270.0
199,1786.0,1866.0,1298.0
200,1802.0,1834.0,1314.0
201,1821.0,1833.0,1296.0
202,1847.0,1846.0,1257.0
203,1862.0,1824.0,1264.0
204,1834.0,1837.0,1279.0
205,1817.0,1841.0,1292.0
206,1758.0,1849.0,1343.0
207,1763.0,1907.0,1280.0
208,1787.0,1886.0,1277.0
209,1786.0,1850.0,1314.0
210,1786.0,1825.0,1339.0
211,1813.0,1800.0,1337.0
212,1820.0,1771.0,1359.0
213,1846.0,1724.0,1380.0
214,1852.0,1717.0,1381.0
215,1825.0,1756.0,1369.0
216,1777.0,1781.0,1392.0
217,1796.0,1821.0,1333.0
218,1837.0,1799.0,1314.0
219,1823.0,1798.0,1329.0
220,1854.0,1786.0,1310.0
221,1845.0,1758.0,1347.0
222,1854.0,1794.0,1302.0
223,1871.0,1740.0,1339.0
224,1894.0,1717.0,1339.0
225,1841.0,1778.0,1331.0
226,1842.0,1822.0,1286.0
227,1871.0,1781.0,1298.0
228,1777.0,1800.0,1373.0
229,1757.0,1868.0,1325.0
230,1715.0,1884.0,1351.0
231,1637.0,1971.0,1342.0
232,1644.0,1983.0,1323.0
233,1651.0,2010.0,1289.0
234,1658.0,2031.0,1261.0
235,1605.0,2008.0,1337.0
