,m,d,r,w,P,R,S,T
0,3.0,0.4,0.3,1.0,169221,597032,117429,106318
1,4.1,0.4,0.3,1.0,205351,522135,108240,154274
2,5.0,0.4,0.3,1.0,145259,616674,124584,103483
3,3.4,0.4,0.3,1.0,158681,585844,126477,118998
4,6.2,0.4,0.3,1.0,116272,647389,140888,85451
5,3.3,0.4,0.3,1.0,206537,539614,113154,130695
6,2.6,0.4,0.3,1.0,212524,519801,102363,155312
7,2.7,0.4,0.3,1.0,196367,522445,113300,157888
8,7.1,0.4,0.3,1.0,145086,604517,128010,112387
9,3.2,0.4,0.3,1.0,185331,548651,104919,151099
10,5.4,0.4,0.3,1.0,164648,578046,121816,125490
11,5.5,0.4,0.3,1.0,148984,619096,125993,95927
12,4.1,0.4,0.3,1.0,166664,610315,111841,101180
13,2.9,0.4,0.3,1.0,156540,594324,124942,114194
14,3.4,0.4,0.3,1.0,155581,592802,130098,111519
15,2.7,0.4,0.3,1.0,187206,543536,103360,155898
16,3.1,0.4,0.3,1.0,202721,535511,96901,154867
17,3.1,0.4,0.3,1.0,138301,628912,131432,91355
18,3.8,0.4,0.3,1.0,149920,588026,135533,116521
19,3.6,0.4,0.3,1.0,149457,604407,122616,113520
20,8.7,0.4,0.3,1.0,154048,611748,120440,103764
21,5.4,0.4,0.3,1.0,178220,571123,115298,125359
22,3.8,0.4,0.3,1.0,190822,552916,118340,127922
23,3.5,0.4,0.3,1.0,189688,560298,106675,133339
24,5.0,0.4,0.3,1.0,169753,572477,116961,130809
25,6.8,0.4,0.3,1.0,175299,562447,132219,120035
26,3.3,0.4,0.3,1.0,179229,571610,116842,122319
27,5.8,0.4,0.3,1.0,160839,580197,130034,118930
28,5.7,0.4,0.3,1.0,162030,585521,128693,113756
29,6.2,0.4,0.3,1.0,187849,552375,114793,134983
30,5.8,0.4,0.3,1.0,196954,548129,111174,133743
31,6.3,0.4,0.3,1.0,165132,587057,124058,113753
32,8.5,0.4,0.3,1.0,165764,581518,124113,118605
33,3.8,0.4,0.3,1.0,188328,543558,114976,143138
34,3.1,0.4,0.3,1.0,162147,574004,121432,132417
35,2.7,0.4,0.3,1.0,181570,565828,108747,133855
36,3.0,0.4,0.3,1.0,160924,590048,120313,118715
37,4.5,0.4,0.3,1.0,161111,599459,114058,115372
38,10.0,0.4,0.3,1.0,177286,568595,106441,137678
39,5.1,0.4,0.3,1.0,128778,635421,139206,86595
40,3.9,0.4,0.3,1.0,204772,532342,101176,151710
41,7.2,0.4,0.3,1.0,176392,563469,125150,124989
42,3.6,0.4,0.3,1.0,145452,615544,120810,108194
43,2.6,0.4,0.3,1.0,150452,616083,119224,104241
