,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,27,22,28,23
1,27,21,29,23
2,27,21,29,23
3,28,21,28,23
4,29,21,27,23
5,29,21,26,24
6,30,20,26,24
7,30,19,26,25
8,30,19,26,25
9,31,18,26,25
10,32,18,26,24
11,32,17,26,25
12,33,17,26,24
13,33,16,27,24
14,33,16,26,25
15,33,16,27,24
16,32,17,27,24
17,32,16,28,24
18,32,17,27,24
19,32,17,27,24
20,33,17,26,24
21,33,17,27,23
22,33,17,27,23
23,33,17,26,24
24,32,17,27,24
25,33,17,26,24
26,34,17,25,24
27,35,17,24,24
28,34,17,25,24
29,33,17,26,24
30,34,17,25,24
31,34,18,24,24
32,33,19,24,24
33,33,19,24,24
34,33,19,25,23
35,33,19,25,23
36,34,18,25,23
37,33,19,25,23
38,32,19,25,24
39,31,19,25,25
40,31,19,24,26
41,31,19,24,26
42,31,18,24,27
43,32,18,24,26
44,32,17,25,26
45,32,17,25,26
46,32,17,25,26
47,32,17,26,25
48,33,17,26,24
49,33,16,27,24
50,33,16,27,24
51,32,16,28,24
52,32,16,28,24
53,32,16,29,23
54,32,16,29,23
55,32,17,28,23
56,32,17,29,22
57,31,17,30,22
58,31,18,29,22
59,32,17,29,22
60,31,17,30,22
61,31,18,30,21
62,31,17,31,21
63,31,17,30,22
64,31,17,29,23
65,32,17,29,22
66,32,17,30,21
67,32,18,29,21
68,32,18,28,22
69,31,18,29,22
70,32,18,28,22
71,33,18,28,21
72,33,18,27,22
73,33,18,27,22
74,34,18,27,21
75,34,18,27,21
76,34,19,26,21
77,33,19,27,21
78,32,20,27,21
79,33,19,27,21
80,33,19,27,21
81,32,19,27,22
82,33,19,26,22
83,32,19,27,22
84,32,19,27,22
85,32,18,28,22
86,31,18,29,22
87,31,19,28,22
88,31,19,28,22
89,31,19,28,22
90,32,19,27,22
91,31,19,28,22
92,31,18,28,23
93,31,19,28,22
94,32,18,28,22
95,31,18,28,23
96,31,18,29,22
97,32,18,28,22
98,32,18,28,22
99,32,18,28,22
100,31,18,28,23
101,32,18,27,23
102,33,18,26,23
103,32,18,26,24
104,32,18,25,25
105,31,19,25,25
106,31,19,26,24
107,30,20,26,24
108,30,20,26,24
109,30,20,26,24
110,29,20,27,24
111,30,20,27,23
112,30,19,28,23
113,30,20,28,22
114,29,20,29,22
115,28,20,30,22
116,28,20,30,22
117,27,20,30,23
118,27,19,30,24
119,27,19,31,23
120,27,19,31,23
121,27,19,31,23
122,27,19,31,23
123,28,19,30,23
124,28,19,30,23
125,28,19,29,24
126,29,19,28,24
127,29,19,28,24
128,28,20,28,24
129,28,20,28,24
130,29,20,27,24
131,29,21,26,24
132,29,21,26,24
133,29,21,26,24
134,28,21,27,24
135,27,21,28,24
136,26,21,28,25
137,26,21,28,25
138,26,22,27,25
139,26,22,26,26
140,26,22,26,26
141,26,22,26,26
142,25,22,27,26
143,25,22,28,25
144,25,21,29,25
145,25,21,30,24
146,25,21,30,24
147,25,20,30,25
148,25,20,31,24
149,25,20,31,24
150,25,20,32,23
151,26,20,31,23
152,26,20,31,23
153,26,20,31,23
154,27,20,30,23
155,27,21,30,22
156,28,20,30,22
157,28,20,30,22
158,28,20,31,21
159,29,20,30,21
160,28,21,30,21
161,29,21,30,20
162,30,21,29,20
163,29,22,29,20
164,28,22,30,20
165,29,22,29,20
166,29,23,28,20
167,28,24,28,20
168,27,24,28,21
169,26,25,28,21
170,25,26,28,21
171,25,27,27,21
172,24,27,27,22
173,24,27,27,22
174,24,27,26,23
175,24,27,26,23
176,24,28,26,22
177,24,28,26,22
178,24,29,26,21
179,25,29,25,21
180,25,29,25,21
181,25,29,25,21
182,25,30,24,21
183,25,29,25,21
184,25,29,25,21
185,25,30,24,21
186,25,30,24,21
187,25,30,25,20
188,25,30,25,20
189,25,29,26,20
190,25,28,26,21
191,25,28,26,21
192,24,29,26,21
193,24,30,26,20
194,24,30,27,19
195,24,29,28,19
196,24,29,27,20
197,23,29,28,20
198,22,29,28,21
199,22,28,29,21
200,22,29,28,21
201,22,29,29,20
202,23,29,28,20
203,23,29,27,21
204,22,29,27,22
205,22,28,28,22
206,22,27,28,23
207,22,26,29,23
208,22,26,29,23
209,22,25,30,23
210,21,25,30,24
211,21,25,29,25
212,21,24,30,25
213,21,24,31,24
214,21,25,30,24
215,22,25,30,23
216,22,24,30,24
217,23,24,30,23
218,22,24,31,23
219,22,24,31,23
220,21,25,31,23
221,21,25,31,23
222,22,24,31,23
223,22,24,31,23
224,22,24,32,22
225,22,23,33,22
226,22,24,33,21
227,22,24,33,21
228,22,24,33,21
229,22,23,34,21
230,21,24,34,21
231,21,25,33,21
232,21,25,33,21
233,20,25,34,21
234,20,25,34,21
235,20,25,35,20
236,20,24,35,21
237,20,24,35,21
238,20,25,34,21
239,21,25,33,21
240,21,25,33,21
241,21,25,33,21
242,21,25,34,20
243,21,26,33,20
244,21,26,33,20
245,21,26,33,20
246,21,25,34,20
247,22,25,33,20
248,22,25,33,20
249,22,25,32,21
250,21,25,32,22
251,21,26,31,22
252,21,25,32,22
253,21,25,32,22
254,21,26,31,22
255,21,26,30,23
256,21,27,30,22
257,21,27,30,22
258,21,27,31,21
259,22,27,30,21
260,23,27,30,20
261,24,27,30,19
262,24,27,30,19
263,23,27,30,20
264,23,27,30,20
265,23,27,30,20
266,24,26,30,20
267,23,26,31,20
268,24,26,30,20
269,23,26,31,20
270,24,25,31,20
271,24,25,31,20
272,23,25,32,20
273,23,26,31,20
274,23,26,31,20
275,23,26,32,19
276,23,27,32,18
277,24,27,31,18
278,24,27,31,18
279,24,27,31,18
280,25,27,31,17
281,25,27,30,18
282,25,27,29,19
283,25,27,30,18
284,25,27,30,18
285,24,27,30,19
286,25,27,29,19
287,25,28,28,19
288,25,28,28,19
289,24,29,28,19
290,25,28,28,19
291,25,28,29,18
292,26,28,28,18
293,26,28,27,19
294,26,27,27,20
295,25,27,28,20
296,25,28,27,20
297,26,28,27,19
298,27,28,27,18
299,26,28,28,18
300,25,28,29,18
301,25,28,29,18
302,25,28,29,18
303,25,27,30,18
304,25,27,31,17
305,25,28,30,17
306,25,27,30,18
307,25,26,30,19
308,26,26,29,19
309,27,26,28,19
310,26,27,28,19
311,26,28,27,19
312,27,28,26,19
313,27,27,27,19
314,27,26,28,19
315,27,26,28,19
316,28,25,28,19
317,28,26,27,19
318,28,25,27,20
319,28,25,28,19
320,28,25,28,19
321,27,26,28,19
322,26,27,28,19
323,26,28,27,19
324,26,29,26,19
325,25,30,26,19
326,24,30,26,20
327,24,29,26,21
328,25,29,25,21
329,24,30,25,21
330,25,29,25,21
331,25,29,25,21
332,25,30,24,21
333,25,31,23,21
334,24,31,24,21
335,25,31,24,20
336,26,30,24,20
337,26,30,23,21
338,26,31,22,21
339,26,31,22,21
340,26,31,22,21
341,26,31,22,21
342,25,31,22,22
343,24,31,23,22
344,24,31,23,22
345,24,30,23,23
346,23,31,23,23
347,23,31,24,22
348,23,31,25,21
349,23,31,26,20
350,22,31,27,20
351,23,31,27,19
352,23,31,27,19
353,23,30,28,19
354,23,30,28,19
355,23,30,28,19
356,23,31,27,19
357,23,31,26,20
358,24,31,26,19
359,23,31,26,20
360,24,31,26,19
361,24,30,26,20
362,24,30,25,21
363,24,30,25,21
364,25,30,24,21
365,25,30,24,21
366,25,30,24,21
367,24,31,24,21
368,25,30,24,21
369,25,30,23,22
370,25,31,22,22
371,24,31,22,23
372,23,32,22,23
373,23,31,23,23
374,23,32,22,23
375,22,32,23,23
376,22,32,22,24
377,22,33,22,23
