,m,d,r,w,R,S,T,P
0,2.5,0.23,0.49,1.0,475143,116497,112812,285548
1,6.2,0.44,0.2,1.0,429556,94424,126373,339647
2,3.9,0.55,0.17,1.0,511692,120652,92314,265342
3,9.4,0.62,0.28,1.0,509879,112881,98505,268735
4,4.8,0.5,0.67,1.0,447930,106883,115827,319360
5,2.7,0.47,0.21,1.0,425399,99394,124000,341207
6,4.3,0.22,0.26,1.0,483939,112628,109192,284241
7,4.3,0.28,0.2,1.0,426733,111393,125794,326080
8,2.7,0.22,0.28,1.0,381072,86571,152399,369958
9,2.7,0.32,0.55,1.0,497165,124979,100772,267084
10,2.6,0.45,0.44,1.0,455627,107792,116821,309760
11,7.9,0.31,0.17,1.0,433828,110066,124871,321235
12,9.0,0.22,0.47,1.0,469258,110865,114538,295339
13,6.8,0.45,0.4,1.0,425109,98910,132942,333039
14,9.8,0.21,0.28,1.0,454995,123783,114985,296237
15,2.6,0.48,0.3,1.0,510756,128473,94621,256150
16,3.0,0.47,0.37,1.0,489790,134290,102735,263185
17,4.6,0.61,0.9,1.0,469486,104552,113046,302916
18,4.1,0.32,0.47,1.0,487495,125966,106593,269946
19,2.9,0.38,0.57,1.0,443587,105459,126247,314707
20,3.5,0.34,0.2,1.0,481126,115300,104849,288725
21,3.0,0.2,0.58,1.0,510175,127460,95050,257315
22,5.5,0.27,0.17,1.0,442416,110840,122529,314215
23,7.1,0.21,0.27,1.0,485207,128738,103931,272124
24,3.2,0.47,0.27,1.0,532975,137514,93149,226362
25,3.5,0.23,0.32,1.0,465653,120070,106723,297554
26,4.4,0.29,0.19,1.0,516063,131949,95440,246548
27,3.3,0.37,0.17,1.0,471831,110487,110444,297238
28,2.5,0.34,0.16,1.0,444671,104765,118490,322074
29,4.6,0.3,0.25,1.0,396001,92152,138393,363454
30,2.8,0.87,0.32,1.0,423581,95954,133387,337078
31,5.1,0.78,0.28,1.0,462409,113095,121882,292614
32,2.7,0.25,0.49,1.0,439833,113024,124780,312363
33,2.8,0.47,0.65,1.0,471472,119050,112179,287299
34,7.8,0.26,0.19,1.0,464652,119408,118692,287248
35,3.4,0.34,0.29,1.0,469591,109692,111303,299414
36,7.4,0.43,0.17,1.0,453949,119996,119788,296267
37,2.5,0.21,0.49,1.0,474868,118050,107281,289801
38,7.5,0.49,0.17,1.0,469978,113707,112104,294211
39,5.4,0.23,0.16,1.0,438864,109382,123982,317772
40,7.2,0.22,0.21,1.0,493225,121953,96220,278602
41,7.7,0.29,0.16,1.0,499100,121840,97500,271560
42,3.4,0.3,0.33,1.0,527745,129752,91294,241209
43,3.1,0.27,0.21,1.0,470379,109941,109429,300251
44,4.9,0.3,0.16,1.0,492067,117984,105116,274833
45,7.2,0.31,0.99,1.0,490451,122734,103369,273446
46,3.5,0.39,0.2,1.0,487408,124920,111457,266215
47,5.2,0.27,0.24,1.0,511646,136353,96921,245080
48,9.3,0.28,0.62,1.0,409030,95739,141847,343384
49,9.7,0.32,0.23,1.0,449347,106458,120779,313416
50,3.6,0.68,0.26,1.0,389572,100783,137195,362450
51,6.8,0.85,0.17,1.0,433477,112939,131489,312095
52,2.7,0.38,0.19,1.0,456284,106216,118047,309453
53,3.0,0.51,0.16,1.0,469468,118192,108516,293824
54,5.5,0.21,0.52,1.0,486354,121470,109044,273132
55,7.3,0.24,0.19,1.0,435350,104074,124582,325994
56,5.9,0.24,0.21,1.0,512763,113768,89177,274292
57,6.2,0.25,0.33,1.0,500039,131219,101301,257441
58,5.0,0.28,0.45,1.0,454696,109626,122539,303139
59,2.9,0.33,0.2,1.0,470196,116361,111405,292038
60,3.1,0.21,0.48,1.0,486353,103645,100909,299093
61,2.8,0.31,0.35,1.0,430938,99047,130620,329395
62,5.4,0.96,0.46,1.0,441489,118218,126774,303519
63,5.0,0.99,0.29,1.0,478604,104237,110932,296227
64,3.0,0.22,0.18,1.0,437507,110277,127120,315096
65,3.3,0.9,0.2,1.0,453076,104997,123876,308051
66,7.3,0.42,0.19,1.0,464967,110336,117342,297355
67,5.7,0.94,0.15,1.0,491277,121351,109924,267448
68,3.9,0.57,0.22,1.0,422701,110771,135416,321112
69,5.4,0.26,0.89,1.0,498268,117535,103840,270357
70,3.2,0.37,0.43,1.0,422310,108303,133575,325812
71,2.7,0.58,0.42,1.0,416710,108279,143544,321467
72,5.6,0.4,0.26,1.0,451658,118106,117888,302348
73,3.0,0.21,0.19,1.0,493077,128538,103304,265081
74,4.7,0.27,0.61,1.0,442842,107697,117360,322101
75,2.8,0.23,0.19,1.0,474890,115156,110248,289706
76,5.1,0.22,0.27,1.0,488148,118837,110242,272773
77,6.7,0.25,0.38,1.0,499016,135427,102076,253481
78,4.3,0.25,0.26,1.0,433665,105461,125525,325349
79,7.9,0.21,0.26,1.0,449062,110239,120512,310187
80,3.4,0.95,0.33,1.0,480201,118880,111749,279170
81,7.0,0.2,0.24,1.0,480083,112498,110751,286668
82,5.1,0.26,0.31,1.0,467643,119247,117488,285622
83,4.1,0.29,0.2,1.0,451822,108891,119233,310054
84,2.7,0.48,0.92,1.0,433824,106059,128805,321312
85,4.9,0.45,0.49,1.0,454601,118595,123261,293543
86,2.8,0.21,0.47,1.0,469267,115456,113227,292050
87,4.4,0.25,0.24,1.0,478170,112466,108570,290794
88,3.6,0.42,0.2,1.0,466630,103322,106649,313399
89,3.5,0.39,0.15,1.0,438308,101651,125680,324361
90,7.1,0.8,0.39,1.0,464792,118341,118424,288443
91,4.0,0.99,0.22,1.0,484923,125567,101177,278333
92,5.6,0.21,0.94,1.0,462479,119836,117061,290624
93,3.1,0.4,0.16,1.0,484194,122641,109859,273306
94,9.1,0.51,0.22,1.0,431537,110134,128745,319584
95,9.2,0.44,0.18,1.0,444110,104817,124105,316968
96,2.6,0.62,0.19,1.0,534152,137947,86132,231769
97,3.5,0.31,0.41,1.0,451455,98892,116670,322983
98,3.0,0.24,0.35,1.0,497457,127032,100537,264974
99,4.6,0.2,0.16,1.0,496721,139933,101935,251411
