,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,32,22,24,22
1,32,22,25,21
2,32,21,26,21
3,32,21,26,21
4,32,21,27,20
5,32,21,27,20
6,32,20,28,20
7,31,21,28,20
8,30,21,29,20
9,29,21,29,21
10,30,21,28,21
11,31,20,28,21
12,31,20,28,21
13,31,20,28,21
14,30,20,29,21
15,29,21,29,21
16,29,21,29,21
17,28,21,30,21
18,28,21,30,21
19,28,21,31,20
20,28,21,31,20
21,27,21,32,20
22,27,21,33,19
23,28,21,32,19
24,28,22,31,19
25,28,22,30,20
26,27,22,31,20
27,27,22,32,19
28,27,22,32,19
29,27,22,32,19
30,27,22,33,18
31,26,23,33,18
32,26,23,33,18
33,25,23,34,18
34,26,23,33,18
35,26,22,34,18
36,25,23,34,18
37,26,23,33,18
38,25,23,34,18
39,25,24,33,18
40,25,24,32,19
41,25,23,32,20
42,26,23,32,19
43,26,23,32,19
44,26,23,31,20
45,26,22,31,21
46,27,22,30,21
47,26,23,30,21
48,27,23,29,21
49,28,22,29,21
50,28,22,29,21
51,28,22,29,21
52,29,22,28,21
53,29,22,27,22
54,30,21,27,22
55,31,21,27,21
56,31,21,27,21
57,31,20,27,22
58,30,20,27,23
59,29,21,27,23
60,29,22,26,23
61,29,22,26,23
62,28,23,26,23
63,28,23,26,23
64,28,23,25,24
65,28,22,25,25
66,28,22,25,25
67,29,22,24,25
68,30,22,24,24
69,30,22,24,24
70,31,21,24,24
71,30,21,25,24
72,31,21,24,24
73,32,21,23,24
74,32,21,23,24
75,32,21,24,23
76,33,21,23,23
77,32,21,24,23
78,32,22,24,22
79,33,21,24,22
80,33,21,24,22
81,34,21,23,22
82,33,21,24,22
83,33,21,23,23
84,33,21,22,24
85,32,22,22,24
86,32,22,22,24
87,33,22,22,23
88,33,22,23,22
89,32,22,23,23
90,31,22,24,23
91,30,22,25,23
92,31,22,25,22
93,30,22,26,22
94,30,23,26,21
95,30,23,26,21
96,29,23,27,21
97,28,23,28,21
98,27,23,28,22
99,27,23,28,22
100,26,23,29,22
101,25,23,30,22
102,25,22,31,22
103,24,22,31,23
104,24,23,31,22
105,23,23,32,22
106,23,22,33,22
107,23,22,33,22
108,23,22,33,22
109,23,23,33,21
110,23,24,33,20
111,24,24,32,20
112,23,24,33,20
113,24,23,33,20
114,24,23,33,20
115,25,22,33,20
116,25,21,33,21
117,25,22,32,21
118,26,21,32,21
119,26,21,32,21
120,26,21,33,20
121,27,21,33,19
122,28,20,33,19
123,28,20,32,20
124,28,19,32,21
125,28,18,33,21
126,28,18,32,22
127,27,18,32,23
128,27,17,33,23
129,26,17,34,23
130,26,18,33,23
131,27,18,32,23
132,27,18,32,23
133,26,18,33,23
134,26,18,34,22
135,26,17,35,22
136,26,17,36,21
137,26,17,35,22
138,25,17,36,22
139,25,17,35,23
140,25,17,36,22
141,25,17,35,23
142,25,17,34,24
143,25,17,34,24
144,24,17,34,25
145,25,16,34,25
146,24,16,34,26
147,24,16,33,27
148,24,17,32,27
149,24,17,32,27
150,24,17,32,27
151,25,17,31,27
152,25,17,31,27
153,26,17,30,27
154,26,17,30,27
155,25,17,30,28
156,26,17,30,27
157,25,17,31,27
158,25,16,32,27
159,26,15,32,27
160,26,15,33,26
161,26,14,33,27
162,25,15,33,27
163,26,15,33,26
164,26,15,34,25
165,26,14,35,25
166,26,13,35,26
167,25,14,35,26
168,25,14,35,26
169,25,14,35,26
170,26,14,34,26
171,26,15,33,26
172,26,14,33,27
173,26,15,33,26
174,26,15,33,26
175,26,15,33,26
176,25,15,34,26
177,25,15,34,26
178,25,15,35,25
