,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,26,19,24,31
1,27,18,24,31
2,27,18,24,31
3,28,18,23,31
4,28,18,23,31
5,28,17,24,31
6,28,17,25,30
7,27,17,26,30
8,28,17,25,30
9,28,17,25,30
10,29,17,25,29
11,29,17,25,29
12,29,17,26,28
13,29,17,26,28
14,29,17,26,28
15,28,17,27,28
16,27,17,27,29
17,27,17,27,29
18,28,17,26,29
19,27,18,26,29
20,27,19,26,28
21,27,19,26,28
22,27,18,27,28
23,27,19,26,28
24,27,19,26,28
25,27,19,25,29
26,26,19,26,29
27,26,18,26,30
28,26,18,25,31
29,25,18,26,31
30,25,18,26,31
31,26,17,26,31
32,25,17,27,31
33,24,17,27,32
34,25,17,27,31
35,25,18,27,30
36,26,18,27,29
37,26,18,27,29
38,27,18,27,28
39,28,18,27,27
40,28,19,27,26
41,28,20,26,26
42,28,20,27,25
43,27,20,27,26
44,27,20,27,26
45,27,20,28,25
46,27,20,28,25
47,27,20,28,25
48,28,20,27,25
49,27,21,27,25
50,27,20,27,26
51,28,20,27,25
52,29,20,26,25
53,29,19,27,25
54,29,18,27,26
55,30,18,26,26
56,29,19,26,26
57,29,19,25,27
58,29,18,26,27
59,29,17,26,28
60,28,17,27,28
61,28,17,27,28
62,28,18,26,28
63,29,18,25,28
64,29,18,25,28
65,28,18,26,28
66,28,19,26,27
67,28,19,26,27
68,27,19,26,28
69,28,19,25,28
70,29,19,24,28
71,28,19,24,29
72,28,19,24,29
73,28,19,24,29
74,28,18,24,30
75,28,18,25,29
76,28,18,26,28
77,27,18,27,28
78,27,18,27,28
79,28,18,26,28
80,28,18,25,29
81,28,19,24,29
82,27,19,24,30
83,28,18,24,30
84,28,18,24,30
85,27,18,24,31
86,27,19,23,31
87,27,19,23,31
88,27,19,24,30
89,27,19,24,30
90,27,18,25,30
91,27,17,26,30
92,26,18,26,30
93,25,19,26,30
94,25,19,27,29
95,25,19,27,29
96,25,20,26,29
97,25,21,26,28
98,25,21,25,29
99,24,21,26,29
100,24,21,26,29
101,25,20,26,29
102,25,20,25,30
103,25,21,25,29
104,26,21,25,28
105,26,21,24,29
106,26,21,23,30
107,26,21,23,30
108,26,21,23,30
109,26,22,22,30
110,26,22,22,30
111,27,22,22,29
112,26,23,22,29
113,26,23,22,29
114,26,22,23,29
115,26,22,23,29
116,27,22,23,28
117,27,21,23,29
118,27,20,23,30
119,28,20,22,30
120,29,20,21,30
121,28,20,22,30
122,28,21,21,30
123,28,21,21,30
124,28,21,21,30
125,28,22,20,30
126,28,21,21,30
127,29,21,20,30
128,29,21,21,29
129,29,21,21,29
130,29,21,21,29
131,29,22,21,28
132,28,23,21,28
133,28,22,21,29
134,27,22,22,29
135,28,21,22,29
136,28,21,22,29
137,27,22,22,29
138,28,22,22,28
139,28,22,22,28
140,27,22,22,29
141,28,22,22,28
142,28,23,22,27
143,28,23,22,27
144,28,23,22,27
145,28,24,22,26
146,28,24,22,26
147,29,23,22,26
148,29,22,22,27
149,28,22,22,28
150,28,22,22,28
151,29,21,22,28
152,29,21,22,28
153,30,21,22,27
154,30,22,22,26
155,30,23,22,25
156,29,24,22,25
157,29,24,22,25
158,30,23,22,25
159,30,23,22,25
160,30,23,22,25
161,31,22,22,25
162,31,21,23,25
163,31,21,23,25
164,31,21,24,24
165,31,21,24,24
166,31,21,24,24
167,30,21,25,24
168,30,21,25,24
169,30,21,25,24
170,30,22,25,23
171,30,22,25,23
172,29,22,25,24
173,30,22,25,23
174,31,21,25,23
175,31,21,25,23
176,31,22,25,22
177,30,22,26,22
178,29,23,26,22
179,30,22,26,22
180,29,22,26,23
181,28,22,27,23
182,28,22,27,23
183,29,22,26,23
184,29,21,27,23
185,29,21,27,23
186,29,21,26,24
187,30,20,26,24
188,30,20,26,24
189,29,20,26,25
190,29,20,26,25
191,29,21,25,25
192,30,21,24,25
193,30,21,25,24
194,30,21,25,24
195,29,22,25,24
196,29,22,25,24
197,30,22,25,23
198,30,22,25,23
199,31,22,25,22
200,31,23,25,21
201,31,23,25,21
202,31,23,25,21
203,31,23,25,21
204,31,23,25,21
205,31,24,24,21
206,31,23,24,22
207,30,24,24,22
208,29,24,24,23
209,28,24,24,24
210,28,24,24,24
211,27,24,24,25
212,27,23,25,25
213,27,23,24,26
214,27,24,23,26
215,27,24,22,27
216,26,25,22,27
217,26,25,22,27
218,26,26,22,26
219,25,27,22,26
220,26,27,21,26
221,25,27,21,27
222,24,28,21,27
223,25,27,21,27
224,25,28,20,27
225,25,29,20,26
226,25,29,20,26
227,25,29,20,26
228,25,30,20,25
229,24,30,20,26
230,25,30,19,26
231,25,30,19,26
232,24,30,19,27
233,25,30,19,26
234,24,30,20,26
235,24,30,20,26
236,23,30,21,26
237,23,30,21,26
238,23,29,21,27
239,23,29,20,28
240,22,29,21,28
241,22,29,21,28
242,22,29,22,27
243,23,29,21,27
244,22,30,21,27
245,23,29,21,27
246,22,30,21,27
247,23,29,21,27
248,23,29,21,27
249,22,29,21,28
250,22,29,21,28
251,23,29,21,27
252,24,29,20,27
253,23,30,20,27
254,22,31,20,27
255,23,30,20,27
256,23,30,19,28
257,23,30,19,28
258,24,29,19,28
259,23,29,20,28
260,23,29,19,29
261,23,29,19,29
262,24,29,19,28
263,25,28,19,28
264,25,28,19,28
265,25,27,20,28
266,25,28,19,28
267,25,29,18,28
268,25,29,18,28
269,25,29,18,28
270,25,30,18,27
271,24,30,18,28
272,24,30,17,29
273,23,30,18,29
274,22,30,19,29
275,21,31,19,29
276,21,31,19,29
277,21,30,20,29
278,21,30,19,30
279,21,30,18,31
280,21,30,19,30
281,20,30,19,31
282,20,30,19,31
283,21,30,19,30
284,20,31,19,30
285,20,31,19,30
286,21,31,19,29
287,21,31,20,28
288,22,31,19,28
289,22,30,19,29
290,22,29,19,30
291,22,29,19,30
292,22,29,19,30
293,22,29,19,30
294,22,30,19,29
295,22,30,19,29
296,22,29,20,29
297,22,30,20,28
298,23,30,20,27
299,23,30,20,27
300,23,31,20,26
301,23,31,20,26
302,23,32,20,25
303,23,31,21,25
304,23,31,21,25
305,23,31,21,25
306,23,31,21,25
307,22,32,21,25
308,22,32,21,25
309,21,33,21,25
310,21,33,21,25
311,22,32,21,25
312,21,32,21,26
313,22,31,21,26
314,23,30,21,26
315,23,30,20,27
316,23,30,20,27
317,23,30,20,27
318,23,29,20,28
319,23,28,20,29
320,23,29,19,29
321,22,29,19,30
322,21,29,19,31
323,21,30,18,31
324,21,30,17,32
325,22,29,17,32
326,22,28,17,33
327,22,28,17,33
328,22,27,17,34
329,21,27,17,35
330,20,27,18,35
331,21,27,18,34
332,20,27,18,35
333,21,27,17,35
334,22,27,17,34
335,23,27,16,34
336,22,27,17,34
337,22,27,18,33
338,21,28,18,33
339,21,27,18,34
340,21,28,18,33
341,21,28,18,33
342,21,28,17,34
343,20,29,17,34
344,19,30,17,34
345,18,31,17,34
346,18,31,18,33
347,18,31,19,32
348,19,31,18,32
349,18,31,18,33
350,18,30,18,34
351,19,30,17,34
352,19,31,16,34
353,19,30,16,35
354,19,30,16,35
355,19,30,15,36
356,19,31,15,35
357,19,31,15,35
358,19,31,15,35
359,19,30,15,36
360,19,30,15,36
361,19,30,14,37
362,20,29,14,37
363,20,29,14,37
364,20,29,13,38
365,20,30,13,37
366,20,30,13,37
367,20,29,14,37
368,21,29,13,37
369,21,29,13,37
370,21,29,13,37
371,22,28,13,37
372,22,28,13,37
373,22,27,13,38
374,22,27,12,39
375,22,26,13,39
376,22,27,12,39
377,22,27,12,39
378,21,27,13,39
379,21,27,13,39
380,21,26,13,40
381,21,26,13,40
382,22,26,13,39
383,22,27,13,38
384,23,27,13,37
385,22,27,13,38
386,22,26,14,38
387,22,25,14,39
388,22,26,14,38
389,22,26,15,37
390,22,26,15,37
391,22,26,15,37
392,23,26,15,36
393,23,27,15,35
394,23,26,16,35
395,22,26,16,36
396,22,26,15,37
397,22,26,14,38
398,22,27,13,38
399,22,27,14,37
400,23,27,14,36
401,22,27,14,37
402,22,26,14,38
403,22,27,14,37
404,22,27,14,37
405,23,27,13,37
406,24,27,12,37
407,24,27,12,37
408,24,26,13,37
409,24,26,12,38
410,25,26,12,37
411,25,26,12,37
412,25,27,12,36
413,24,27,12,37
414,24,26,12,38
415,24,26,12,38
416,24,26,13,37
417,24,26,14,36
418,24,25,15,36
419,24,25,15,36
420,25,24,15,36
421,25,24,15,36
422,25,24,15,36
423,26,24,15,35
424,26,24,16,34
425,26,23,17,34
426,25,23,17,35
427,26,23,16,35
428,26,23,17,34
429,26,23,17,34
430,26,23,16,35
431,26,23,15,36
432,26,22,15,37
433,26,21,16,37
434,25,22,16,37
435,25,22,16,37
436,24,22,17,37
437,25,22,17,36
438,26,22,16,36
439,26,21,17,36
440,27,21,17,35
441,28,20,17,35
442,28,21,17,34
443,27,21,18,34
444,28,20,18,34
445,28,20,18,34
446,29,19,18,34
447,29,20,17,34
448,29,21,17,33
449,29,21,16,34
450,30,21,15,34
451,29,21,15,35
452,29,22,15,34
453,28,22,15,35
454,27,22,15,36
455,27,23,15,35
456,27,24,15,34
457,27,24,15,34
458,27,25,15,33
459,27,25,15,33
460,27,25,15,33
461,28,25,15,32
462,29,25,14,32
463,30,24,14,32
464,30,24,14,32
465,30,24,14,32
466,31,24,14,31
467,32,23,14,31
468,31,23,14,32
469,31,23,14,32
470,31,23,13,33
471,31,24,12,33
472,31,23,12,34
473,32,22,12,34
474,32,22,11,35
475,32,22,11,35
476,32,22,12,34
477,33,21,12,34
478,33,21,12,34
479,33,21,12,34
480,33,22,12,33
481,32,23,12,33
482,31,24,12,33
483,30,24,12,34
484,31,24,12,33
485,30,25,12,33
486,30,25,12,33
487,30,25,13,32
488,31,25,13,31
489,31,25,13,31
490,31,25,13,31
491,31,25,13,31
492,30,26,13,31
493,30,27,12,31
494,31,27,11,31
495,31,28,10,31
496,31,29,10,30
497,31,28,11,30
498,31,27,11,31
499,32,26,11,31
500,32,26,12,30
501,32,27,12,29
502,33,27,11,29
503,33,28,10,29
504,33,28,9,30
505,33,29,8,30
506,33,28,8,31
507,34,28,8,30
508,34,28,8,30
509,35,28,8,29
510,35,28,8,29
