,Mutual_Cooperation,Mutual_Defection,Exploitation
0,2488.0,403.0,2059.0
1,2365.0,1475.0,1110.0
2,2274.0,1484.0,1192.0
3,2291.0,1429.0,1230.0
4,2313.0,1458.0,1179.0
5,2281.0,1492.0,1177.0
6,2262.0,1481.0,1207.0
7,2177.0,1510.0,1263.0
8,2180.0,1534.0,1236.0
9,2186.0,1534.0,1230.0
10,2184.0,1499.0,1267.0
11,2174.0,1522.0,1254.0
12,2100.0,1506.0,1344.0
13,2090.0,1571.0,1289.0
14,2032.0,1591.0,1327.0
15,2037.0,1593.0,1320.0
16,2045.0,1605.0,1300.0
17,2069.0,1600.0,1281.0
18,2093.0,1552.0,1305.0
19,2083.0,1538.0,1329.0
20,2071.0,1525.0,1354.0
21,2081.0,1538.0,1331.0
22,2053.0,1533.0,1364.0
23,2057.0,1563.0,1330.0
24,1972.0,1608.0,1370.0
25,2026.0,1553.0,1371.0
26,2051.0,1568.0,1331.0
27,2048.0,1563.0,1339.0
28,2100.0,1527.0,1323.0
29,2087.0,1575.0,1288.0
30,2111.0,1494.0,1345.0
31,2156.0,1494.0,1300.0
32,2162.0,1497.0,1291.0
33,2084.0,1514.0,1352.0
34,2086.0,1553.0,1311.0
35,2094.0,1536.0,1320.0
36,2125.0,1514.0,1311.0
37,2040.0,1559.0,1351.0
38,2040.0,1545.0,1365.0
39,2067.0,1568.0,1315.0
40,2071.0,1520.0,1359.0
41,2084.0,1501.0,1365.0
42,2065.0,1481.0,1404.0
43,2034.0,1485.0,1431.0
44,2033.0,1538.0,1379.0
45,1996.0,1562.0,1392.0
46,1994.0,1602.0,1354.0
47,1997.0,1608.0,1345.0
48,2025.0,1648.0,1277.0
49,2067.0,1594.0,1289.0
50,2036.0,1544.0,1370.0
51,1981.0,1566.0,1403.0
52,1991.0,1644.0,1315.0
53,2029.0,1581.0,1340.0
54,2053.0,1546.0,1351.0
55,1982.0,1578.0,1390.0
56,1980.0,1611.0,1359.0
57,2018.0,1535.0,1397.0
58,2064.0,1521.0,1365.0
59,2013.0,1533.0,1404.0
60,2004.0,1578.0,1368.0
61,2005.0,1564.0,1381.0
62,1996.0,1582.0,1372.0
63,2011.0,1583.0,1356.0
64,2030.0,1581.0,1339.0
65,2026.0,1566.0,1358.0
66,1945.0,1562.0,1443.0
67,1942.0,1617.0,1391.0
68,1895.0,1651.0,1404.0
69,1931.0,1643.0,1376.0
70,1913.0,1633.0,1404.0
71,1941.0,1559.0,1450.0
72,2002.0,1562.0,1386.0
73,2015.0,1541.0,1394.0
74,1949.0,1567.0,1434.0
75,1948.0,1584.0,1418.0
76,1976.0,1566.0,1408.0
77,1949.0,1549.0,1452.0
78,1981.0,1564.0,1405.0
79,1991.0,1520.0,1439.0
80,2037.0,1496.0,1417.0
81,2069.0,1489.0,1392.0
82,2067.0,1496.0,1387.0
83,2088.0,1471.0,1391.0
84,2033.0,1448.0,1469.0
85,1979.0,1511.0,1460.0
86,1969.0,1508.0,1473.0
87,1979.0,1502.0,1469.0
88,1994.0,1461.0,1495.0
89,2008.0,1452.0,1490.0
90,2011.0,1449.0,1490.0
91,2029.0,1430.0,1491.0
92,2040.0,1428.0,1482.0
93,2052.0,1446.0,1452.0
94,2060.0,1394.0,1496.0
95,2096.0,1334.0,1520.0
96,2152.0,1367.0,1431.0
97,2082.0,1360.0,1508.0
98,2106.0,1378.0,1466.0
99,2109.0,1389.0,1452.0
100,2127.0,1310.0,1513.0
101,2169.0,1338.0,1443.0
102,2194.0,1297.0,1459.0
103,2200.0,1322.0,1428.0
104,2266.0,1296.0,1388.0
105,2254.0,1252.0,1444.0
106,2280.0,1269.0,1401.0
107,2296.0,1286.0,1368.0
108,2311.0,1296.0,1343.0
109,2249.0,1321.0,1380.0
110,2191.0,1351.0,1408.0
111,2185.0,1384.0,1381.0
112,2231.0,1315.0,1404.0
113,2193.0,1330.0,1427.0
114,2150.0,1384.0,1416.0
115,2154.0,1371.0,1425.0
116,2098.0,1415.0,1437.0
117,2104.0,1420.0,1426.0
