,m,d,r,w,R,S,T,P
0,8.3,0.87,0.34,1.0,562785,143480,105455,178280
1,4.4,0.46,0.27,1.0,415369,102444,186231,285956
2,5.1,0.22,0.33,1.0,541407,145529,118334,184730
3,2.9,0.58,0.8,1.0,506443,113074,132390,238093
4,4.3,0.22,0.35,1.0,514566,123557,132703,219174
5,6.1,0.31,0.17,1.0,500586,133045,143052,213317
6,2.7,0.45,0.17,1.0,532746,122501,122355,212398
7,2.6,0.27,0.26,1.0,507073,123312,140849,218766
8,2.9,0.54,0.3,1.0,495992,130146,144180,219682
9,3.8,0.33,0.51,1.0,513362,130411,130058,216169
10,3.7,0.33,0.67,1.0,478449,133139,148345,230067
11,3.8,0.29,0.2,1.0,455825,125152,157688,251335
12,4.3,0.24,0.2,1.0,486188,134445,148321,221046
13,5.6,0.57,0.25,1.0,512816,138611,133763,204810
14,3.9,0.21,0.24,1.0,525058,137386,122950,204606
15,10.0,0.35,0.38,1.0,535227,147963,118136,188674
16,5.9,0.45,0.19,1.0,571899,148548,95386,174167
17,3.9,0.22,0.19,1.0,509756,110001,132077,238166
18,4.1,0.3,0.35,1.0,452232,118268,169030,250470
19,3.5,0.39,0.26,1.0,530716,136934,120559,201791
20,4.8,0.23,0.37,1.0,518856,138582,126918,205644
21,9.1,0.29,0.31,1.0,480921,121491,152979,234609
22,3.2,0.23,0.48,1.0,527051,140650,125902,196397
23,2.5,0.22,0.59,1.0,544745,153847,119996,171412
24,3.9,0.79,0.18,1.0,523183,153762,127485,185570
25,3.9,0.42,0.17,1.0,521796,137987,129408,200809
26,6.9,0.34,0.31,1.0,531386,143063,116302,199249
27,7.9,0.24,0.3,1.0,400261,92788,211014,285937
28,2.6,0.3,0.58,1.0,530846,130104,129147,199903
29,4.5,0.37,0.3,1.0,514778,127939,129987,217296
30,8.9,0.82,0.15,1.0,532770,143114,123256,190860
31,3.0,0.44,0.37,1.0,507612,121395,139108,221885
32,2.9,0.39,0.54,1.0,478660,110601,157276,243463
33,4.9,0.33,0.4,1.0,451865,124563,171797,241775
34,3.3,0.55,0.18,1.0,540187,157610,111488,180715
35,2.9,0.22,0.25,1.0,500328,132776,131045,225851
36,3.8,0.21,0.17,1.0,505963,125481,137512,221044
37,3.2,0.47,0.15,1.0,496727,133594,145280,214399
38,2.7,0.62,0.21,1.0,555904,138326,108813,186957
39,3.5,0.26,0.44,1.0,516015,138687,130699,204599
40,2.9,0.23,0.16,1.0,542072,157555,114711,175662
41,5.9,0.83,0.36,1.0,501920,149278,135797,203005
42,2.5,0.94,0.64,1.0,551371,160602,113278,164749
43,5.2,0.41,0.16,1.0,497050,121436,143040,228474
44,3.4,0.59,0.15,1.0,509047,132081,136902,211970
45,4.1,0.23,0.27,1.0,532835,136541,114737,205887
46,6.9,0.97,0.15,1.0,545856,125377,110375,208392
47,8.1,0.53,0.16,1.0,520361,150382,127862,191395
48,2.8,0.32,0.25,1.0,526025,138135,122410,203430
49,4.3,0.37,0.25,1.0,510890,132155,133148,213807
50,7.4,0.78,0.18,1.0,504623,130715,141430,213232
51,2.9,0.23,0.72,1.0,554627,148709,108188,178476
52,3.0,0.31,0.98,1.0,427076,113293,195415,254216
53,2.9,0.24,0.33,1.0,557489,157699,103749,171063
54,5.1,0.21,0.58,1.0,454880,126652,168936,239532
55,5.4,0.29,0.32,1.0,485014,146991,153477,204518
56,6.1,0.31,0.28,1.0,455494,103956,162771,267779
57,4.5,0.23,0.45,1.0,535282,153323,121340,180055
58,3.5,0.21,0.3,1.0,492077,132868,147111,217944
59,6.1,0.57,0.34,1.0,528530,137039,129624,194807
60,5.5,0.2,0.9,1.0,500879,132426,142013,214682
61,4.7,0.39,0.23,1.0,568825,140599,101806,178770
62,2.6,0.22,0.19,1.0,486313,112273,145985,245429
63,3.4,0.5,0.34,1.0,545643,141451,108219,194687
64,2.8,0.2,0.38,1.0,500316,126160,134886,228638
65,3.0,0.29,0.56,1.0,495280,151810,139835,203075
66,2.7,0.28,0.24,1.0,501926,134188,135532,218354
67,3.2,0.21,0.41,1.0,514532,135502,125267,214699
68,9.5,0.26,0.47,1.0,570301,152636,105816,161247
69,5.2,0.47,0.24,1.0,450740,117349,166481,255430
70,2.6,0.32,0.18,1.0,560143,145507,102116,182234
71,7.8,0.22,0.31,1.0,580531,150913,91685,166871
72,4.9,0.28,0.62,1.0,404527,106855,207786,270832
73,8.1,0.32,0.17,1.0,563307,161110,102263,163320
74,3.1,0.26,0.97,1.0,498424,127975,140168,223433
75,2.5,0.21,0.18,1.0,526150,129128,119913,214809
76,8.1,0.37,0.29,1.0,558344,161860,109457,160339
77,6.2,0.33,0.2,1.0,500142,133321,149488,207049
78,2.8,0.37,0.18,1.0,492221,126673,148787,222319
79,6.5,0.25,0.54,1.0,477260,131042,149816,231882
80,6.1,0.36,0.18,1.0,425975,100877,179866,283282
81,5.4,0.77,0.16,1.0,561428,152504,97639,178429
82,6.5,0.3,0.24,1.0,469673,113376,162995,243956
83,3.3,0.33,0.17,1.0,437433,107752,174253,270562
84,4.5,0.28,0.33,1.0,514653,136577,137646,201124
85,5.7,0.23,0.24,1.0,491521,124418,149548,224513
86,5.5,0.46,0.27,1.0,488962,124081,159655,217302
87,4.1,0.69,0.64,1.0,583693,148820,96824,160663
88,5.4,0.3,0.3,1.0,553210,148697,108710,179383
89,4.8,0.32,0.21,1.0,553718,166931,109429,159922
90,9.1,0.41,0.15,1.0,530677,136313,125238,197772
91,2.8,0.23,0.19,1.0,471826,118092,157883,242199
92,5.2,0.4,0.31,1.0,547548,144991,104544,192917
93,2.9,0.83,0.15,1.0,559485,134819,110682,185014
94,7.6,0.22,0.32,1.0,522638,151311,127702,188349
95,4.0,0.4,0.58,1.0,527660,153405,125711,183224
96,9.3,0.32,0.44,1.0,523627,125102,131211,210060
97,4.8,0.82,0.19,1.0,510919,134974,133424,210683
98,5.8,0.4,0.16,1.0,421033,119985,189167,259815
99,3.4,0.27,0.2,1.0,550671,151062,110937,177330
